benchmark,outer_fold,utility_R2,utility_pearson,utility_spearman,utility_sign_accuracy,positive_target_fraction,rows,subjects,controller_id,mode,cross_fitted
OpenBMI_MI_S1_to_S2,3,-0.0316298134283823,0.1698930554766767,0.2507512573180349,0.615595075239398,0.4295485636114911,731,43,RIDGE_A1,META_GENERIC,True
OpenBMI_MI_S1_to_S2,3,-0.0397890377331415,0.1509085557270435,0.2239496390788361,0.612859097127223,0.4295485636114911,731,43,RIDGE_A10,META_GENERIC,True
OpenBMI_MI_S1_to_S2,3,-0.0183693541207707,0.1240118032243223,0.0263674414859207,0.5704514363885089,0.4295485636114911,731,43,EXTRA_TREES_D4,META_GENERIC,True
OpenBMI_MI_S1_to_S2,3,0.0183759029592821,0.1924483095850283,0.2802896524054396,0.6374829001367989,0.4295485636114911,731,43,RIDGE_A1,PERSIST_META,True
OpenBMI_MI_S1_to_S2,3,-0.0365939833662056,0.1437234132734572,0.2211095487970881,0.6032831737346102,0.4295485636114911,731,43,RIDGE_A10,PERSIST_META,True
OpenBMI_MI_S1_to_S2,3,-0.0150795242577146,0.1349549369914978,0.16428742333995,0.5471956224350205,0.4295485636114911,731,43,EXTRA_TREES_D4,PERSIST_META,True
OpenBMI_MI_S1_to_S2,4,0.195227753771522,0.4495437877634756,0.4148966298499009,0.6283422459893048,0.3449197860962567,748,44,RIDGE_A1,META_GENERIC,True
OpenBMI_MI_S1_to_S2,4,0.1927976976516505,0.4441958411453071,0.4203105160337057,0.6403743315508021,0.3449197860962567,748,44,RIDGE_A10,META_GENERIC,True
OpenBMI_MI_S1_to_S2,4,0.1161085192295861,0.3597376087482994,0.38470166784434,0.6550802139037433,0.3449197860962567,748,44,EXTRA_TREES_D4,META_GENERIC,True
OpenBMI_MI_S1_to_S2,4,0.1694722767460581,0.4132730761884126,0.4123771669358083,0.6350267379679144,0.3449197860962567,748,44,RIDGE_A1,PERSIST_META,True
OpenBMI_MI_S1_to_S2,4,0.1381308799693015,0.3916361321432501,0.3924015030872366,0.6189839572192514,0.3449197860962567,748,44,RIDGE_A10,PERSIST_META,True
OpenBMI_MI_S1_to_S2,4,0.1185062865669293,0.3657871810156067,0.3860637845460105,0.6390374331550802,0.3449197860962567,748,44,EXTRA_TREES_D4,PERSIST_META,True
WBCIC_S1S2_to_S3_authorized_development,0,0.0501386398335086,0.3562797823605452,0.2873298294526913,0.6267361111111112,0.4166666666666667,576,32,RIDGE_A1,META_GENERIC,True
WBCIC_S1S2_to_S3_authorized_development,0,0.06938740915104,0.3586251303995977,0.3006029437620877,0.625,0.4166666666666667,576,32,RIDGE_A10,META_GENERIC,True
WBCIC_S1S2_to_S3_authorized_development,0,-0.0391011786050594,0.0472864371141693,0.0748077586907505,0.5694444444444444,0.4166666666666667,576,32,EXTRA_TREES_D4,META_GENERIC,True
WBCIC_S1S2_to_S3_authorized_development,0,0.1310196957706413,0.3623944989367514,0.3370345741340768,0.6232638888888888,0.4166666666666667,576,32,RIDGE_A1,PERSIST_META,True
WBCIC_S1S2_to_S3_authorized_development,0,0.106796362908289,0.3729979796655005,0.3126455554718308,0.6267361111111112,0.4166666666666667,576,32,RIDGE_A10,PERSIST_META,True
WBCIC_S1S2_to_S3_authorized_development,0,0.014229286630348,0.1812975653995357,0.2208818099615703,0.5885416666666666,0.4166666666666667,576,32,EXTRA_TREES_D4,PERSIST_META,True
WBCIC_S1S2_to_S3_authorized_development,1,0.1105554227672485,0.3870334506080189,0.2732048473740766,0.6296296296296297,0.3922558922558922,594,33,RIDGE_A1,META_GENERIC,True
WBCIC_S1S2_to_S3_authorized_development,1,0.151190631867735,0.4164274840670509,0.3336570603508406,0.6430976430976431,0.3922558922558922,594,33,RIDGE_A10,META_GENERIC,True
