task,fold,subject,session,arm,label,trials,mean_P_distance,cosine_similarity,standardized_P_MSE,native_to_oracle_movement_recovery,movement_direction_agreement
OpenBMI_MI,1,15,2,TOP3_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.789502739906311,0.9433158040046692,0.20548281073570251,0.002463651355355978,0.027537383139133453
OpenBMI_MI,1,44,2,TOP3_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.4249189496040344,0.933683454990387,0.038135845214128494,-0.009094317443668842,-0.030123241245746613
OpenBMI_MI,1,52,2,TOP3_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.45225757360458374,0.9515371918678284,0.053212739527225494,-0.012891898863017559,0.03747858479619026
OpenBMI_MI,1,1,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.9538054466247559,0.8993072509765625,0.3073044419288635,-0.009143678471446037,0.03549925982952118
OpenBMI_MI,1,8,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.836077868938446,0.8991063833236694,0.17925067245960236,0.013397527858614922,0.037584688514471054
OpenBMI_MI,1,11,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.5930423140525818,0.9107261896133423,0.09086054563522339,0.05241021886467934,0.069233238697052
OpenBMI_MI,1,15,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.7829791307449341,0.9443406462669373,0.20261380076408386,0.005260458681732416,0.04114053398370743
OpenBMI_MI,1,44,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.42025649547576904,0.934441089630127,0.03740252926945686,-0.00035307183861732483,-0.011484292335808277
OpenBMI_MI,1,52,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.44478854537010193,0.9521853923797607,0.05146865174174309,-0.013473463244736195,0.03661070391535759
OpenBMI_MI,1,1,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.9586699604988098,0.8965170383453369,0.314039945602417,-0.014805960468947887,0.04286636412143707
OpenBMI_MI,1,8,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.8552117943763733,0.8915247917175293,0.18547634780406952,0.01390726026147604,0.027323782444000244
OpenBMI_MI,1,11,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.5935046672821045,0.9104025959968567,0.09205112606287003,0.04732726514339447,0.09274925291538239
OpenBMI_MI,1,15,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.7817649841308594,0.9428593516349792,0.1992671638727188,0.014231771230697632,0.08177661150693893
OpenBMI_MI,1,44,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.4204033613204956,0.9346644878387451,0.03766085207462311,0.0007796589052304626,0.006435636430978775
OpenBMI_MI,1,52,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.4633106589317322,0.9503435492515564,0.054608821868896484,-0.0019855545833706856,0.03957103565335274
OpenBMI_MI,1,1,2,CE_UPPER_FULL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.9538059234619141,0.8993069529533386,0.30730482935905457,-0.00914439745247364,0.03549719974398613
OpenBMI_MI,1,8,2,CE_UPPER_FULL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.8360780477523804,0.8991062641143799,0.17925062775611877,0.013397399336099625,0.03758377209305763
