dataset,fold,model,mean_abs_logit,mean_logit_l2,mean_decision_margin,predictive_entropy,confidence,fraction_finite,class_ordering
OpenBMI,3,CodeBrain+LiteBN,0.9730587671574904,1.4465346950168034,1.850729956565192,0.4178399320383865,0.8048689045466495,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,3,CodeBrain+EEGNet,0.873099232200766,1.3426614559307637,1.582963698913809,0.46104065211881634,0.7787034399290303,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,3,EEGNet+LiteBN,1.130598292502109,1.67989336434231,2.151564980982803,0.37632280408463203,0.8295317510131945,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,4,EEGNet,1.0305136380204931,1.584842255388173,1.8488243656326084,0.4152453849106407,0.8102048131458346,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,4,LiteBN,1.4784260715078563,2.183021135740039,2.887656931076199,0.28061540826596276,0.8805551482046348,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,4,EEGConformer,2.173687505023554,3.2189929049979993,4.325496721696108,0.2122911733572562,0.9077664219555848,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,4,EEGConformer+LiteBN,1.736037491678726,2.5602909351876155,3.4344006424723195,0.25353062460037423,0.8886051297801103,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,4,EEGConformer+EEGNet,1.4586437103897334,2.1654044369150593,2.8516011913400146,0.2981344235421366,0.8697215317141322,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,4,CBraMod,0.013184150811284781,0.021466683144777045,0.014450394911691547,0.6931041062099423,0.5036123815212672,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,4,CBraMod+LiteBN,0.7395253262802726,1.0907554222387223,1.4456356485874857,0.47694275193790614,0.7790058537231787,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,4,CBraMod+EEGNet,0.5147824387525907,0.7908753896826545,0.9259381825232412,0.5772709276447524,0.7007962064812621,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,4,CodeBrain,1.6071402414562181,2.354714514330898,3.1367020612210035,0.2918784493250133,0.8709192726055491,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,4,CodeBrain+LiteBN,1.3768297172198072,1.9794288632880062,2.7345468957629055,0.3143693103509753,0.8623610597340496,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,4,CodeBrain+EEGNet,1.1203792241844348,1.6266467641846236,2.207528154947795,0.37565543773957116,0.831439039873303,1.0,"logit[0]=class0, logit[1]=class1"
OpenBMI,4,EEGNet+LiteBN,1.1579587962920777,1.7205152681442712,2.22221697777044,0.3561867080093804,0.8440939791368072,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,0,EEGNet,1.1701993339535381,1.7947537071230688,1.904704073742032,0.42045472832357006,0.7957579792021763,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,0,LiteBN,1.174687762883758,1.778404208356052,2.1469823354123427,0.3968975797980344,0.8081708461406387,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,0,EEGConformer,0.12278668592950064,0.18792869769391438,0.24257176171189973,0.6814181774661122,0.5595747081364073,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,0,EEGConformer+LiteBN,0.618170422937588,0.9273297682061477,1.1524627989916396,0.5320388714011905,0.7234570128904144,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,0,EEGConformer+EEGNet,0.6289068980458459,0.9652422013907788,1.047499953132522,0.5507195373481023,0.7119582002606721,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,0,CBraMod,0.7370140664266156,1.0636332206857189,1.470874155634748,0.48056088876233244,0.7532880272395426,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,0,CBraMod+LiteBN,0.8647816546108308,1.2661935081785756,1.676901090673304,0.4544466547479814,0.7729914141303582,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,0,CBraMod+EEGNet,0.8889092229210239,1.3423894608880158,1.6183066275802307,0.459056925413283,0.7726775202654325,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,0,CodeBrain,0.9900868846151778,1.529618711563479,1.820788339104703,0.4308859882189401,0.7963427868727828,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,0,CodeBrain+LiteBN,0.9425040374689603,1.3387221715333348,1.881980252964422,0.423398122890121,0.7953108688569757,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,0,CodeBrain+EEGNet,1.0448659370210953,1.6105603596407219,1.8076267870522238,0.4307706834310006,0.7927708127499065,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,0,EEGNet+LiteBN,0.9856163263101397,1.4245855370216487,1.9494796332304498,0.4164681991024993,0.7951066047528763,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,1,EEGNet,1.5701660462127378,2.3720573146466015,2.504505024123937,0.3632104782106968,0.8230504005672755,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,1,LiteBN,1.6518436023531347,2.402092662053173,3.246135797634003,0.2697987523590612,0.8811311185231864,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,1,EEGConformer,1.9991725815848136,3.026348631137023,3.955215643703317,0.2700771920917387,0.8753228405257649,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,1,EEGConformer+LiteBN,1.7125334013206883,2.488198046527071,3.4113061155285687,0.27992028252685985,0.8733841779403292,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,1,EEGConformer+EEGNet,1.6498278236032153,2.4555262016411175,3.0945235659896086,0.3222404831111707,0.8461057097242324,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,1,CBraMod,1.6447866305561425,2.3322549530854646,3.2840098803226527,0.2994752468578542,0.8486979653748735,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,1,CBraMod+LiteBN,1.555384922880524,2.220766924968949,3.0982430564410364,0.28937925046553103,0.8687764552309815,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,1,CBraMod+EEGNet,1.5001270217774436,2.2043443469571646,2.7979122724663466,0.3312456449813095,0.8374807099770917,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,1,CodeBrain,1.5472296811338553,2.2388594026829227,3.059168054673549,0.31771655097579915,0.8540875411616917,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,1,CodeBrain+LiteBN,1.499123283229613,2.165334208748102,2.9649835645919667,0.3027605109811904,0.866238319670994,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,1,CodeBrain+EEGNet,1.3825700343570981,2.0273076544388378,2.6694057619726905,0.3439393511264499,0.836831114622099,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,1,EEGNet+LiteBN,1.4145353619909535,2.0844340731425657,2.7548681274739404,0.3204118601529743,0.8557003546633226,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,2,EEGNet,1.5732694645955538,2.3738796373498148,2.4821249944747734,0.38469123519619475,0.8027916993747751,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,2,LiteBN,1.2899765784821162,1.839469282840258,2.5731922869508463,0.3497703573558502,0.8328964426409439,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,2,EEGConformer,1.7862839732629558,2.622032553555639,3.5469700030734144,0.3074677329354008,0.8508131192745612,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,2,EEGConformer+LiteBN,1.4636358204010564,2.103085936719017,2.913770145440164,0.34325111758077337,0.8317184234255471,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,2,EEGConformer+EEGNet,1.5488557610691835,2.26321793640945,2.931163168698549,0.3501344659754769,0.8247638087380902,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,2,CBraMod,0.9950120995892212,1.4214574588042523,1.9866831028523544,0.4227821803484082,0.7835328426768217,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,2,CBraMod+LiteBN,1.0735197742391998,1.5256581659071389,2.1426725687226282,0.39894679285469997,0.8005498281975569,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,2,CBraMod+EEGNet,1.1895017600858895,1.7677842253957043,2.12982187979389,0.4100048669056537,0.7881943922395368,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,2,CodeBrain,1.1683677076162227,1.8272328442889878,2.081334859513445,0.4068742266914093,0.8073294084876941,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,2,CodeBrain+LiteBN,1.125964341988826,1.661404018163412,2.1828801288537214,0.3913413690906891,0.8114803775891325,1.0,"logit[0]=class0, logit[1]=class1"
