task,fold,role,session,subject,direction,margin_alpha_star_lt_1_fraction,margin_alpha_star_gt_1_fraction,margin_alpha_star_distribution,trial_conditional,ce_alpha_star_distribution,label_scope
OpenBMI_MI,2,discovery,2,14,0,0.5,0.5,"[50, 0, 0, 0, 0, 0, 0, 50]",True,"[50, 0, 0, 0, 0, 0, 0, 50]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,14,1,0.45,0.54,"[44, 0, 0, 1, 1, 0, 0, 54]",True,"[44, 0, 0, 1, 1, 0, 0, 54]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,14,2,0.53,0.47,"[53, 0, 0, 0, 0, 0, 1, 46]",True,"[53, 0, 0, 0, 0, 0, 1, 46]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,14,3,0.64,0.36,"[64, 0, 0, 0, 0, 0, 0, 36]",True,"[64, 0, 0, 0, 0, 0, 0, 36]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,14,4,0.59,0.41,"[59, 0, 0, 0, 0, 0, 0, 41]",True,"[59, 0, 0, 0, 0, 0, 0, 41]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,14,5,0.51,0.49,"[51, 0, 0, 0, 0, 0, 1, 48]",True,"[51, 0, 0, 0, 0, 0, 1, 48]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,14,6,0.46,0.53,"[45, 0, 0, 1, 1, 0, 1, 52]",True,"[45, 0, 0, 1, 1, 0, 1, 52]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,14,7,0.51,0.49,"[51, 0, 0, 0, 0, 0, 0, 49]",True,"[51, 0, 0, 0, 0, 0, 0, 49]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,14,8,0.5,0.5,"[50, 0, 0, 0, 0, 0, 0, 50]",True,"[50, 0, 0, 0, 0, 0, 0, 50]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,14,9,0.4,0.6,"[36, 1, 2, 1, 0, 1, 5, 54]",True,"[36, 1, 2, 1, 0, 1, 5, 54]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,14,10,0.62,0.38,"[62, 0, 0, 0, 0, 0, 0, 38]",True,"[62, 0, 0, 0, 0, 0, 0, 38]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,14,11,0.48,0.52,"[46, 1, 0, 1, 0, 2, 2, 48]",True,"[46, 1, 0, 1, 1, 1, 2, 48]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,14,12,0.46,0.54,"[46, 0, 0, 0, 0, 0, 0, 54]",True,"[46, 0, 0, 0, 0, 0, 0, 54]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,14,13,0.51,0.49,"[51, 0, 0, 0, 0, 0, 0, 49]",True,"[51, 0, 0, 0, 0, 0, 0, 49]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,14,14,0.49,0.51,"[47, 2, 0, 0, 0, 0, 0, 51]",True,"[47, 2, 0, 0, 0, 0, 0, 51]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,14,15,0.61,0.39,"[61, 0, 0, 0, 0, 0, 0, 39]",True,"[61, 0, 0, 0, 0, 0, 0, 39]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,35,0,0.53,0.47,"[53, 0, 0, 0, 0, 0, 0, 47]",True,"[53, 0, 0, 0, 0, 0, 0, 47]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,35,1,0.38,0.6,"[34, 0, 1, 3, 2, 2, 3, 55]",True,"[33, 1, 0, 3, 3, 2, 3, 55]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,35,2,0.55,0.45,"[54, 0, 0, 1, 0, 0, 3, 42]",True,"[51, 2, 0, 1, 1, 4, 1, 40]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,35,3,0.9,0.1,"[90, 0, 0, 0, 0, 0, 0, 10]",True,"[90, 0, 0, 0, 0, 0, 0, 10]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,35,4,0.97,0.03,"[97, 0, 0, 0, 0, 0, 0, 3]",False,"[97, 0, 0, 0, 0, 0, 0, 3]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,35,5,0.87,0.13,"[87, 0, 0, 0, 0, 0, 0, 13]",True,"[87, 0, 0, 0, 0, 0, 0, 13]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,35,6,0.37,0.63,"[30, 2, 2, 3, 0, 3, 3, 57]",True,"[29, 2, 3, 3, 0, 3, 4, 56]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,35,7,0.61,0.38,"[61, 0, 0, 0, 1, 0, 0, 38]",True,"[57, 3, 0, 1, 1, 0, 0, 38]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,35,8,0.25,0.75,"[25, 0, 0, 0, 0, 0, 0, 75]",True,"[25, 0, 0, 0, 0, 0, 0, 75]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,35,9,0.5,0.48,"[50, 0, 0, 0, 2, 0, 0, 48]",True,"[50, 0, 0, 0, 2, 0, 0, 48]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,35,10,0.24,0.76,"[24, 0, 0, 0, 0, 0, 1, 75]",True,"[24, 0, 0, 0, 0, 0, 1, 75]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,35,11,0.49,0.5,"[45, 1, 2, 1, 1, 1, 1, 48]",True,"[42, 2, 2, 2, 3, 1, 1, 47]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,35,12,0.28,0.72,"[28, 0, 0, 0, 0, 0, 0, 72]",True,"[28, 0, 0, 0, 0, 0, 0, 72]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,35,13,0.79,0.21,"[79, 0, 0, 0, 0, 0, 0, 21]",True,"[79, 0, 0, 0, 0, 0, 0, 21]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,35,14,0.21,0.78,"[19, 0, 1, 1, 1, 2, 3, 73]",True,"[19, 0, 1, 1, 1, 3, 3, 72]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,35,15,0.33,0.67,"[33, 0, 0, 0, 0, 0, 0, 67]",True,"[33, 0, 0, 0, 0, 0, 0, 67]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,35,0,0.56,0.44,"[56, 0, 0, 0, 0, 0, 0, 44]",True,"[55, 0, 0, 0, 1, 0, 0, 44]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,35,1,0.44,0.56,"[42, 0, 1, 1, 0, 0, 2, 54]",True,"[42, 0, 1, 1, 1, 0, 3, 52]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,35,2,0.48,0.52,"[48, 0, 0, 0, 0, 0, 2, 50]",True,"[48, 0, 0, 0, 1, 0, 1, 50]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,35,3,0.75,0.25,"[75, 0, 0, 0, 0, 0, 0, 25]",True,"[75, 0, 0, 0, 0, 0, 0, 25]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,35,4,0.64,0.35,"[60, 1, 2, 1, 1, 0, 1, 34]",True,"[60, 1, 2, 1, 1, 0, 1, 34]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,35,5,0.7,0.3,"[70, 0, 0, 0, 0, 0, 0, 30]",True,"[70, 0, 0, 0, 0, 0, 0, 30]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,35,6,0.44,0.55,"[41, 1, 1, 1, 1, 2, 1, 52]",True,"[41, 1, 1, 1, 1, 2, 1, 52]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,35,7,0.5,0.5,"[50, 0, 0, 0, 0, 0, 0, 50]",True,"[49, 0, 1, 0, 1, 0, 0, 49]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,35,8,0.19,0.81,"[19, 0, 0, 0, 0, 0, 0, 81]",True,"[19, 0, 0, 0, 0, 0, 0, 81]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,35,9,0.48,0.52,"[46, 1, 0, 1, 0, 1, 0, 51]",True,"[45, 1, 0, 1, 1, 2, 0, 50]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,35,10,0.37,0.63,"[36, 0, 1, 0, 0, 0, 2, 61]",True,"[36, 0, 1, 0, 0, 0, 2, 61]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,35,11,0.49,0.51,"[48, 1, 0, 0, 0, 0, 1, 50]",True,"[48, 1, 0, 0, 1, 1, 1, 48]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,35,12,0.38,0.61,"[37, 0, 0, 1, 1, 1, 0, 60]",True,"[36, 0, 0, 1, 2, 1, 0, 60]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,35,13,0.7,0.3,"[70, 0, 0, 0, 0, 0, 0, 30]",True,"[70, 0, 0, 0, 0, 0, 0, 30]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,35,14,0.32,0.68,"[29, 1, 1, 1, 0, 1, 1, 66]",True,"[28, 2, 1, 1, 0, 1, 1, 66]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,35,15,0.43,0.57,"[43, 0, 0, 0, 0, 0, 0, 57]",True,"[43, 0, 0, 0, 0, 0, 0, 57]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,45,0,0.51,0.49,"[51, 0, 0, 0, 0, 0, 0, 49]",True,"[51, 0, 0, 0, 0, 0, 0, 49]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,45,1,0.58,0.42,"[58, 0, 0, 0, 0, 1, 1, 40]",True,"[58, 0, 0, 0, 0, 1, 1, 40]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,45,2,0.42,0.58,"[41, 1, 0, 0, 0, 0, 1, 57]",True,"[41, 1, 0, 0, 0, 0, 1, 57]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,45,3,0.49,0.51,"[49, 0, 0, 0, 0, 0, 0, 51]",True,"[49, 0, 0, 0, 0, 0, 0, 51]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,45,4,0.37,0.63,"[37, 0, 0, 0, 0, 0, 0, 63]",True,"[37, 0, 0, 0, 0, 0, 0, 63]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,45,5,0.4,0.6,"[40, 0, 0, 0, 0, 0, 0, 60]",True,"[40, 0, 0, 0, 0, 0, 0, 60]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,45,6,0.51,0.49,"[51, 0, 0, 0, 0, 1, 0, 48]",True,"[51, 0, 0, 0, 0, 1, 0, 48]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,45,7,0.5,0.5,"[50, 0, 0, 0, 0, 0, 0, 50]",True,"[50, 0, 0, 0, 0, 0, 0, 50]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,45,8,0.41,0.59,"[41, 0, 0, 0, 0, 0, 0, 59]",True,"[41, 0, 0, 0, 0, 0, 0, 59]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,45,9,0.44,0.56,"[42, 1, 0, 1, 0, 1, 0, 55]",True,"[42, 1, 0, 1, 1, 1, 0, 54]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,45,10,0.59,0.41,"[59, 0, 0, 0, 0, 0, 0, 41]",True,"[59, 0, 0, 0, 0, 0, 0, 41]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,45,11,0.46,0.53,"[44, 1, 1, 0, 1, 1, 2, 50]",True,"[44, 1, 1, 0, 1, 1, 2, 50]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,45,12,0.53,0.47,"[53, 0, 0, 0, 0, 0, 0, 47]",True,"[53, 0, 0, 0, 0, 0, 0, 47]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,45,13,0.55,0.45,"[55, 0, 0, 0, 0, 0, 0, 45]",True,"[55, 0, 0, 0, 0, 0, 0, 45]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,45,14,0.52,0.48,"[52, 0, 0, 0, 0, 0, 0, 48]",True,"[52, 0, 0, 0, 0, 0, 0, 48]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,45,15,0.56,0.44,"[56, 0, 0, 0, 0, 0, 0, 44]",True,"[56, 0, 0, 0, 0, 0, 0, 44]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,45,0,0.51,0.49,"[51, 0, 0, 0, 0, 0, 0, 49]",True,"[51, 0, 0, 0, 0, 0, 0, 49]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,45,1,0.51,0.49,"[51, 0, 0, 0, 0, 0, 0, 49]",True,"[51, 0, 0, 0, 1, 0, 0, 48]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,45,2,0.48,0.51,"[48, 0, 0, 0, 1, 1, 1, 49]",True,"[48, 0, 0, 0, 1, 1, 1, 49]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,45,3,0.47,0.53,"[47, 0, 0, 0, 0, 0, 0, 53]",True,"[47, 0, 0, 0, 0, 0, 0, 53]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,45,4,0.44,0.56,"[44, 0, 0, 0, 0, 0, 0, 56]",True,"[44, 0, 0, 0, 0, 0, 0, 56]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,45,5,0.42,0.58,"[42, 0, 0, 0, 0, 0, 0, 58]",True,"[42, 0, 0, 0, 0, 0, 0, 58]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,45,6,0.48,0.51,"[47, 0, 0, 1, 1, 0, 0, 51]",True,"[47, 0, 0, 1, 1, 0, 0, 51]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,45,7,0.5,0.5,"[50, 0, 0, 0, 0, 0, 0, 50]",True,"[50, 0, 0, 0, 0, 0, 0, 50]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,45,8,0.45,0.55,"[45, 0, 0, 0, 0, 0, 0, 55]",True,"[45, 0, 0, 0, 0, 0, 0, 55]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,45,9,0.48,0.52,"[48, 0, 0, 0, 0, 1, 0, 51]",True,"[48, 0, 0, 0, 0, 1, 0, 51]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,45,10,0.62,0.38,"[62, 0, 0, 0, 0, 0, 0, 38]",True,"[62, 0, 0, 0, 0, 0, 0, 38]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,45,11,0.5,0.5,"[50, 0, 0, 0, 0, 0, 0, 50]",True,"[50, 0, 0, 0, 0, 0, 0, 50]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,45,12,0.54,0.46,"[54, 0, 0, 0, 0, 0, 0, 46]",True,"[54, 0, 0, 0, 0, 0, 0, 46]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,45,13,0.51,0.49,"[51, 0, 0, 0, 0, 0, 0, 49]",True,"[51, 0, 0, 0, 0, 0, 0, 49]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,45,14,0.58,0.42,"[58, 0, 0, 0, 0, 0, 0, 42]",True,"[58, 0, 0, 0, 0, 0, 0, 42]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,45,15,0.48,0.52,"[48, 0, 0, 0, 0, 0, 0, 52]",True,"[48, 0, 0, 0, 0, 0, 0, 52]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,46,0,0.54,0.46,"[54, 0, 0, 0, 0, 0, 0, 46]",True,"[54, 0, 0, 0, 0, 0, 0, 46]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,46,1,0.52,0.48,"[52, 0, 0, 0, 0, 0, 1, 47]",True,"[51, 1, 0, 0, 0, 0, 1, 47]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,46,2,0.45,0.55,"[43, 0, 2, 0, 0, 0, 1, 54]",True,"[43, 0, 2, 0, 0, 0, 1, 54]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,46,3,0.43,0.57,"[43, 0, 0, 0, 0, 0, 0, 57]",True,"[43, 0, 0, 0, 0, 0, 0, 57]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,46,4,0.44,0.55,"[44, 0, 0, 0, 1, 0, 0, 55]",True,"[44, 0, 0, 0, 1, 0, 0, 55]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,46,5,0.57,0.43,"[57, 0, 0, 0, 0, 0, 0, 43]",True,"[57, 0, 0, 0, 0, 0, 0, 43]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,46,6,0.61,0.39,"[59, 0, 0, 2, 0, 0, 1, 38]",True,"[59, 0, 0, 2, 0, 0, 1, 38]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,46,7,0.47,0.53,"[47, 0, 0, 0, 0, 0, 0, 53]",True,"[47, 0, 0, 0, 0, 0, 0, 53]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,46,8,0.46,0.54,"[46, 0, 0, 0, 0, 0, 0, 54]",True,"[46, 0, 0, 0, 0, 0, 0, 54]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,46,9,0.47,0.52,"[45, 1, 1, 0, 1, 0, 0, 52]",True,"[45, 1, 1, 0, 1, 0, 0, 52]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,46,10,0.44,0.56,"[44, 0, 0, 0, 0, 0, 0, 56]",True,"[44, 0, 0, 0, 0, 0, 0, 56]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,46,11,0.47,0.53,"[46, 0, 0, 1, 0, 0, 2, 51]",True,"[46, 0, 0, 1, 0, 0, 2, 51]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,46,12,0.48,0.52,"[48, 0, 0, 0, 0, 0, 0, 52]",True,"[48, 0, 0, 0, 0, 0, 0, 52]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,46,13,0.52,0.48,"[52, 0, 0, 0, 0, 0, 0, 48]",True,"[52, 0, 0, 0, 0, 0, 0, 48]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,46,14,0.52,0.48,"[51, 0, 0, 1, 0, 0, 0, 48]",True,"[51, 0, 0, 1, 0, 0, 0, 48]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,1,46,15,0.56,0.44,"[56, 0, 0, 0, 0, 0, 0, 44]",True,"[56, 0, 0, 0, 0, 0, 0, 44]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,46,0,0.48,0.52,"[48, 0, 0, 0, 0, 0, 0, 52]",True,"[48, 0, 0, 0, 0, 0, 0, 52]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,46,1,0.49,0.51,"[48, 0, 0, 1, 0, 0, 0, 51]",True,"[47, 1, 0, 1, 0, 0, 0, 51]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,46,2,0.49,0.48,"[43, 3, 2, 1, 3, 0, 0, 48]",True,"[38, 7, 2, 1, 4, 0, 0, 48]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,46,3,0.6,0.4,"[60, 0, 0, 0, 0, 0, 0, 40]",True,"[60, 0, 0, 0, 0, 0, 0, 40]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,46,4,0.6,0.4,"[60, 0, 0, 0, 0, 1, 0, 39]",True,"[60, 0, 0, 0, 1, 0, 0, 39]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,46,5,0.53,0.47,"[53, 0, 0, 0, 0, 0, 0, 47]",True,"[53, 0, 0, 0, 0, 0, 0, 47]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,46,6,0.52,0.48,"[51, 0, 0, 1, 0, 1, 3, 44]",True,"[50, 0, 1, 1, 0, 1, 3, 44]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,46,7,0.58,0.42,"[57, 0, 1, 0, 0, 0, 1, 41]",True,"[55, 1, 1, 0, 2, 1, 2, 38]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,46,8,0.41,0.59,"[41, 0, 0, 0, 0, 0, 0, 59]",True,"[41, 0, 0, 0, 0, 0, 0, 59]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,46,9,0.5,0.5,"[46, 1, 1, 2, 0, 1, 2, 47]",True,"[46, 1, 1, 2, 0, 1, 2, 47]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,46,10,0.51,0.49,"[51, 0, 0, 0, 0, 0, 0, 49]",True,"[51, 0, 0, 0, 0, 0, 0, 49]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,46,11,0.58,0.42,"[57, 1, 0, 0, 0, 2, 1, 39]",True,"[57, 1, 0, 0, 0, 2, 1, 39]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,46,12,0.42,0.58,"[42, 0, 0, 0, 0, 0, 0, 58]",True,"[42, 0, 0, 0, 0, 0, 0, 58]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,46,13,0.48,0.52,"[48, 0, 0, 0, 0, 0, 0, 52]",True,"[48, 0, 0, 0, 0, 0, 0, 52]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,46,14,0.35,0.65,"[35, 0, 0, 0, 0, 1, 1, 63]",True,"[35, 0, 0, 0, 0, 1, 1, 63]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,discovery,2,46,15,0.52,0.48,"[52, 0, 0, 0, 0, 0, 0, 48]",True,"[52, 0, 0, 0, 0, 0, 0, 48]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,3,inner_train,1,1,0,0.55,0.45,"[55, 0, 0, 0, 0, 0, 0, 45]",True,"[54, 1, 0, 0, 0, 0, 0, 45]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,3,inner_train,1,1,1,0.45,0.55,"[44, 0, 0, 1, 0, 0, 0, 55]",True,"[44, 0, 0, 1, 0, 0, 0, 55]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,3,inner_train,1,1,2,0.55,0.44,"[50, 1, 2, 2, 1, 1, 3, 40]",True,"[50, 1, 2, 2, 1, 1, 3, 40]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,3,inner_train,1,1,3,0.54,0.46,"[54, 0, 0, 0, 0, 0, 0, 46]",True,"[54, 0, 0, 0, 0, 0, 0, 46]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,3,inner_train,1,1,4,0.57,0.43,"[50, 0, 1, 6, 0, 0, 0, 43]",True,"[50, 0, 1, 6, 0, 1, 0, 42]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,3,inner_train,1,1,5,0.49,0.5,"[47, 1, 0, 1, 1, 2, 2, 46]",True,"[47, 0, 1, 1, 1, 2, 2, 46]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,3,inner_train,1,1,6,0.52,0.47,"[49, 0, 1, 2, 1, 0, 0, 47]",True,"[49, 0, 1, 2, 1, 0, 0, 47]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,3,inner_train,1,1,7,0.48,0.52,"[48, 0, 0, 0, 0, 0, 2, 50]",True,"[48, 0, 0, 0, 0, 0, 2, 50]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,3,inner_train,1,1,8,0.48,0.52,"[48, 0, 0, 0, 0, 0, 0, 52]",True,"[48, 0, 0, 0, 0, 0, 0, 52]",DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
