scope,task,fold,subject_id,method,BA,macro_F1,accuracy,trials
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,20,B0_Exact_LiteBN,0.8845454545454545,0.8185645933014354,0.8803030303030303,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,20,C0_LiteBN_DualCE,0.8827272727272728,0.8191238878917961,0.8813131313131313,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,21,B0_Exact_LiteBN,0.8636363636363636,0.7883021102497847,0.8555555555555555,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,21,C0_LiteBN_DualCE,0.8587878787878788,0.7868743376047789,0.8555555555555555,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,41,B0_Exact_LiteBN,0.8906060606060606,0.8419770091659493,0.9005050505050505,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,41,C0_LiteBN_DualCE,0.8778787878787879,0.7995723103644701,0.8631313131313131,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,44,B0_Exact_LiteBN,0.8993939393939394,0.7932432947299054,0.8505050505050505,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,44,C0_LiteBN_DualCE,0.9018181818181819,0.8014721996622449,0.8585858585858586,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,46,B0_Exact_LiteBN,0.7048484848484848,0.6499009820959463,0.7525252525252525,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,46,C0_LiteBN_DualCE,0.6906060606060607,0.6224763185272368,0.7166666666666667,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,53,B0_Exact_LiteBN,0.6563636363636364,0.6507379337854009,0.798989898989899,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,53,C0_LiteBN_DualCE,0.7136363636363636,0.6826515966344234,0.7974747474747474,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,7,B0_Exact_LiteBN,0.8815151515151516,0.8085114371654687,0.8712121212121212,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,7,C0_LiteBN_DualCE,0.8863636363636364,0.797979797979798,0.8590909090909091,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,9,B0_Exact_LiteBN,0.8333333333333334,0.8005640612409348,0.8777777777777778,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,9,C0_LiteBN_DualCE,0.8096969696969697,0.78304698457223,0.8686868686868687,1980
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,15,B0_Exact_LiteBN,0.8799999999999999,0.8795664391810518,0.88,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,15,C0_LiteBN_DualCE,0.8300000000000001,0.8286117552172598,0.83,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,3,B0_Exact_LiteBN,0.8899999999999999,0.8897243107769424,0.89,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,3,C0_LiteBN_DualCE,0.89,0.8899009108197378,0.89,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,32,B0_Exact_LiteBN,0.69,0.6892230576441103,0.69,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,32,C0_LiteBN_DualCE,0.6699999999999999,0.6691729323308271,0.67,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,33,B0_Exact_LiteBN,0.88,0.8798076923076923,0.88,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,33,C0_LiteBN_DualCE,0.89,0.8899889988998899,0.89,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,38,B0_Exact_LiteBN,0.72,0.6961805555555556,0.72,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,38,C0_LiteBN_DualCE,0.72,0.6961805555555556,0.72,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,47,B0_Exact_LiteBN,0.86,0.8590982286634461,0.86,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,47,C0_LiteBN_DualCE,0.85,0.8498648783905515,0.85,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,5,B0_Exact_LiteBN,0.72,0.7106242248863166,0.72,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,5,C0_LiteBN_DualCE,0.72,0.7126436781609196,0.72,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,6,B0_Exact_LiteBN,0.95,0.9499549594635172,0.95,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,6,C0_LiteBN_DualCE,0.95,0.9499549594635172,0.95,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,14,B0_Exact_LiteBN,0.61,0.6096486838154338,0.61,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,14,C0_LiteBN_DualCE,0.63,0.6189887756152817,0.63,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,2,B0_Exact_LiteBN,0.77,0.769792813532179,0.77,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,2,C0_LiteBN_DualCE,0.8200000000000001,0.8199279711884754,0.82,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,26,B0_Exact_LiteBN,0.84,0.8383838383838383,0.84,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,26,C0_LiteBN_DualCE,0.8300000000000001,0.8260869565217391,0.83,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,28,B0_Exact_LiteBN,0.94,0.9399038461538461,0.94,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,28,C0_LiteBN_DualCE,0.87,0.8684077335762729,0.87,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,31,B0_Exact_LiteBN,0.8200000000000001,0.8164014687882497,0.82,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,31,C0_LiteBN_DualCE,0.86,0.8585858585858586,0.86,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,35,B0_Exact_LiteBN,0.8,0.7933030177759405,0.8,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,35,C0_LiteBN_DualCE,0.86,0.8579545454545454,0.86,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,40,B0_Exact_LiteBN,0.75,0.7384663667747673,0.75,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,40,C0_LiteBN_DualCE,0.77,0.767182913250329,0.77,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,43,B0_Exact_LiteBN,0.9199999999999999,0.9199679871948779,0.92,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,43,C0_LiteBN_DualCE,0.9099999999999999,0.9097744360902256,0.91,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,1,B0_Exact_LiteBN,0.69,0.6756982948007113,0.69,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,1,C0_LiteBN_DualCE,0.73,0.7175436761167486,0.73,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,11,B0_Exact_LiteBN,0.77,0.7688674505074866,0.77,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,11,C0_LiteBN_DualCE,0.77,0.7688674505074866,0.77,100
