status,mode,fold,seed,method_id,family,best_epoch,best_calibration_BA,best_calibration_macro_f1,best_calibration_CE,epochs_executed,parameter_count,checkpoint,elapsed_seconds,train_rows,calibration_rows,outcome_loader_constructed_during_training,outer_test_used
COMPLETE,full,1,1,B1_EEG_DG_FULL,B,28,0.6516666666666666,0.649131642785794,0.6672882008260237,30,380446,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-1\B1_EEG_DG_FULL.pt,135.01979088783264,5600,600,False,False
COMPLETE,full,1,1,C0_SCLDGN_TASK_ONLY,C,11,0.7683333333333333,0.7676304153397361,0.5613860317970899,16,79349,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-1\C0_SCLDGN_TASK_ONLY.pt,26.34032368659973,5600,600,False,False
COMPLETE,full,1,1,C1_SCLDGN_FULL,C,7,0.7466666666666667,0.7451688256530049,0.508219577500748,12,79349,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-1\seed-1\C1_SCLDGN_FULL.pt,46.939053773880005,5600,600,False,False
COMPLETE,full,2,0,A0_TASK_ONLY_EEGNET,A,19,0.6950000000000001,0.6931169313929082,0.5921831828162789,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-0\A0_TASK_ONLY_EEGNET.pt,32.0414662361145,5600,600,False,False
COMPLETE,full,2,0,A1_SUBJECT_GRL_EEGNET_L0050,A,20,0.7116666666666667,0.7116466421279255,0.5966297395106263,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-0\A1_SUBJECT_GRL_EEGNET_L0050.pt,32.27334499359131,5600,600,False,False
COMPLETE,full,2,0,A1_SUBJECT_GRL_EEGNET_L0100,A,18,0.7016666666666667,0.7016592081468704,0.5958005025566494,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-0\A1_SUBJECT_GRL_EEGNET_L0100.pt,32.43726944923401,5600,600,False,False
COMPLETE,full,2,0,A1_SUBJECT_GRL_EEGNET_L0300,A,8,0.6783333333333333,0.6775801246801556,0.6277525814859307,13,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-0\A1_SUBJECT_GRL_EEGNET_L0300.pt,21.0913188457489,5600,600,False,False
COMPLETE,full,2,0,A1_SUBJECT_GRL_EEGNET_L1000,A,16,0.6699999999999999,0.6692797648211661,0.6291580825190998,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-0\A1_SUBJECT_GRL_EEGNET_L1000.pt,32.15236496925354,5600,600,False,False
COMPLETE,full,2,0,B0_EEG_DG_TASK_ONLY,B,14,0.7316666666666667,0.7312717854847818,0.569576099428544,21,380446,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-0\B0_EEG_DG_TASK_ONLY.pt,89.39767956733704,5600,600,False,False
COMPLETE,full,2,0,B1_EEG_DG_FULL,B,29,0.605,0.5852280516510665,0.6839688023331574,30,380446,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-0\B1_EEG_DG_FULL.pt,134.96133184432983,5600,600,False,False
COMPLETE,full,2,0,C0_SCLDGN_TASK_ONLY,C,15,0.7283333333333333,0.7283265414968707,0.8140991931164708,20,79349,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-0\C0_SCLDGN_TASK_ONLY.pt,32.86069440841675,5600,600,False,False
COMPLETE,full,2,0,C1_SCLDGN_FULL,C,5,0.7150000000000001,0.7129258895520133,0.5521249379872704,10,79349,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-0\C1_SCLDGN_FULL.pt,38.77300453186035,5600,600,False,False
COMPLETE,full,2,1,A0_TASK_ONLY_EEGNET,A,19,0.685,0.6812592228234138,0.6053898267326728,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-1\A0_TASK_ONLY_EEGNET.pt,31.994791269302368,5600,600,False,False
COMPLETE,full,2,1,A1_SUBJECT_GRL_EEGNET_L0050,A,20,0.6966666666666667,0.6966666666666667,0.5905142190571188,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-1\A1_SUBJECT_GRL_EEGNET_L0050.pt,32.40254306793213,5600,600,False,False
COMPLETE,full,2,1,A1_SUBJECT_GRL_EEGNET_L0100,A,17,0.7150000000000001,0.7148661454960801,0.5955322566759683,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-1\A1_SUBJECT_GRL_EEGNET_L0100.pt,32.42928194999695,5600,600,False,False
COMPLETE,full,2,1,A1_SUBJECT_GRL_EEGNET_L0300,A,20,0.685,0.6837975523588312,0.5991019516661218,20,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-1\A1_SUBJECT_GRL_EEGNET_L0300.pt,32.515421867370605,5600,600,False,False
COMPLETE,full,2,1,A1_SUBJECT_GRL_EEGNET_L1000,A,12,0.6716666666666666,0.6702735725105237,0.6225589279710335,17,40142,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-1\A1_SUBJECT_GRL_EEGNET_L1000.pt,27.483270168304443,5600,600,False,False
COMPLETE,full,2,1,B0_EEG_DG_TASK_ONLY,B,11,0.7583333333333333,0.7571995903091937,0.5552584715472215,18,380446,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-1\B0_EEG_DG_TASK_ONLY.pt,76.67301058769226,5600,600,False,False
COMPLETE,full,2,1,B1_EEG_DG_FULL,B,24,0.6316666666666666,0.6280703132231381,0.7035622943458969,30,380446,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-1\B1_EEG_DG_FULL.pt,135.06099104881287,5600,600,False,False
COMPLETE,full,2,1,C0_SCLDGN_TASK_ONLY,C,8,0.7316666666666667,0.7314988534500729,0.5459004978853914,13,79349,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-1\C0_SCLDGN_TASK_ONLY.pt,21.47855424880981,5600,600,False,False
COMPLETE,full,2,1,C1_SCLDGN_FULL,C,8,0.7333333333333334,0.731891505429197,0.5600447784127786,13,79349,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-2\seed-1\C1_SCLDGN_FULL.pt,50.37667393684387,5600,600,False,False
