seed,fold,subject_id,kind,source,target,condition,auroc
0,2,4,cross_session,erp,erp,raw,0.8712158203125
0,2,44,cross_session,erp,erp,raw,0.6717529296875
0,2,51,cross_session,erp,erp,raw,0.5672607421875
0,2,52,cross_session,erp,erp,raw,0.8297119140625
0,2,54,cross_session,erp,erp,raw,0.6173095703125
0,2,7,cross_session,erp,erp,raw,0.8243408203125
0,2,18,cross_session,erp,erp,erase_UL,0.5369873046875
0,2,22,cross_session,erp,erp,erase_UL,0.46417236328125
0,2,26,cross_session,erp,erp,erase_UL,0.59417724609375
0,2,29,cross_session,erp,erp,erase_UL,0.54583740234375
0,2,34,cross_session,erp,erp,erase_UL,0.536865234375
0,2,4,cross_session,erp,erp,erase_UL,0.59716796875
0,2,44,cross_session,erp,erp,erase_UL,0.50897216796875
0,2,51,cross_session,erp,erp,erase_UL,0.47698974609375
0,2,52,cross_session,erp,erp,erase_UL,0.566162109375
0,2,54,cross_session,erp,erp,erase_UL,0.54180908203125
0,2,7,cross_session,erp,erp,erase_UL,0.728759765625
0,2,18,cross_session,ssvep,ssvep,raw,0.7994384765625
0,2,22,cross_session,ssvep,ssvep,raw,0.75567626953125
0,2,26,cross_session,ssvep,ssvep,raw,0.62823486328125
0,2,29,cross_session,ssvep,ssvep,raw,0.666748046875
0,2,34,cross_session,ssvep,ssvep,raw,0.64739990234375
0,2,4,cross_session,ssvep,ssvep,raw,0.72613525390625
0,2,44,cross_session,ssvep,ssvep,raw,0.721435546875
0,2,51,cross_session,ssvep,ssvep,raw,0.76251220703125
0,2,52,cross_session,ssvep,ssvep,raw,0.81036376953125
0,2,54,cross_session,ssvep,ssvep,raw,0.76806640625
0,2,7,cross_session,ssvep,ssvep,raw,0.9163818359375
0,2,18,cross_session,ssvep,ssvep,erase_UL,0.85675048828125
0,2,22,cross_session,ssvep,ssvep,erase_UL,0.8197021484375
0,2,26,cross_session,ssvep,ssvep,erase_UL,0.74957275390625
0,2,29,cross_session,ssvep,ssvep,erase_UL,0.65362548828125
0,2,34,cross_session,ssvep,ssvep,erase_UL,0.66522216796875
0,2,4,cross_session,ssvep,ssvep,erase_UL,0.63800048828125
0,2,44,cross_session,ssvep,ssvep,erase_UL,0.66754150390625
0,2,51,cross_session,ssvep,ssvep,erase_UL,0.81561279296875
0,2,52,cross_session,ssvep,ssvep,erase_UL,0.70892333984375
0,2,54,cross_session,ssvep,ssvep,erase_UL,0.7171630859375
0,2,7,cross_session,ssvep,ssvep,erase_UL,0.76275634765625
0,3,15,cross_paradigm,mi,erp,raw,0.71875
0,3,17,cross_paradigm,mi,erp,raw,0.7005615234375
0,3,20,cross_paradigm,mi,erp,raw,0.6256103515625
0,3,21,cross_paradigm,mi,erp,raw,0.97418212890625
0,3,24,cross_paradigm,mi,erp,raw,0.6639404296875
0,3,27,cross_paradigm,mi,erp,raw,0.80010986328125
0,3,28,cross_paradigm,mi,erp,raw,0.620849609375
0,3,38,cross_paradigm,mi,erp,raw,0.68707275390625
0,3,41,cross_paradigm,mi,erp,raw,0.72186279296875
0,3,46,cross_paradigm,mi,erp,raw,0.83807373046875
0,3,9,cross_paradigm,mi,erp,raw,0.83709716796875
0,3,15,cross_paradigm,mi,erp,erase_UL,0.53509521484375
0,3,17,cross_paradigm,mi,erp,erase_UL,0.54119873046875
0,3,20,cross_paradigm,mi,erp,erase_UL,0.4866943359375
0,3,21,cross_paradigm,mi,erp,erase_UL,0.62451171875
0,3,24,cross_paradigm,mi,erp,erase_UL,0.5819091796875
0,3,27,cross_paradigm,mi,erp,erase_UL,0.57220458984375
0,3,28,cross_paradigm,mi,erp,erase_UL,0.46710205078125
0,3,38,cross_paradigm,mi,erp,erase_UL,0.54302978515625
0,3,41,cross_paradigm,mi,erp,erase_UL,0.58837890625
0,3,46,cross_paradigm,mi,erp,erase_UL,0.43731689453125
0,3,9,cross_paradigm,mi,erp,erase_UL,0.5931396484375
0,3,15,cross_paradigm,mi,ssvep,raw,0.08953857421875
0,3,17,cross_paradigm,mi,ssvep,raw,0.69696044921875
0,3,20,cross_paradigm,mi,ssvep,raw,0.67791748046875
