dataset,fold,seed,method,subject_id,BA,macro_F1,NLL,trials,inference_random_effect
WBCIC,1,1,RandomEffectOnly,45,0.865,0.8644272049408752,0.4305554811255228,400,False
WBCIC,1,1,AdversarialMixed,2,0.6125,0.6107263720325734,0.6377127276162793,400,False
WBCIC,1,1,AdversarialMixed,11,0.8775,0.8772783339907708,0.40949996812264394,400,False
WBCIC,1,1,AdversarialMixed,13,0.7475,0.7474984218651366,0.5314264194845514,400,False
WBCIC,1,1,AdversarialMixed,18,0.5874999999999999,0.5873736331751599,0.651760647322101,400,False
WBCIC,1,1,AdversarialMixed,27,0.5275,0.5121290147716493,0.6882324004396075,400,False
WBCIC,1,1,AdversarialMixed,36,0.9225000000000001,0.9224995156219726,0.3473026974755831,400,False
WBCIC,1,1,AdversarialMixed,44,0.7375,0.7373670420650454,0.5491887943063246,400,False
WBCIC,1,1,AdversarialMixed,45,0.865,0.8644272049408752,0.43027824128977216,400,False
WBCIC,1,1,PERSIST-RE,2,0.6125,0.6107263720325734,0.6377135790464343,400,False
WBCIC,1,1,PERSIST-RE,11,0.8775,0.8772783339907708,0.40950242080008464,400,False
WBCIC,1,1,PERSIST-RE,13,0.7475,0.7474984218651366,0.5314248399766818,400,False
WBCIC,1,1,PERSIST-RE,18,0.5874999999999999,0.5873736331751599,0.651759451795205,400,False
WBCIC,1,1,PERSIST-RE,27,0.5275,0.5121290147716493,0.6882354215086468,400,False
WBCIC,1,1,PERSIST-RE,36,0.9225000000000001,0.9224995156219726,0.3473031813095847,400,False
WBCIC,1,1,PERSIST-RE,44,0.7375,0.7373670420650454,0.5491845946168561,400,False
WBCIC,1,1,PERSIST-RE,45,0.865,0.8644272049408752,0.4302746673317826,400,False
WBCIC,1,2,ERM,2,0.615,0.6142187930559382,0.6341018359190698,400,False
WBCIC,1,2,ERM,11,0.8725,0.8724800750117205,0.4158339944288724,400,False
WBCIC,1,2,ERM,13,0.7375,0.7344310184570442,0.5446285171271146,400,False
WBCIC,1,2,ERM,18,0.6225,0.6216463395536178,0.6347802560598801,400,False
WBCIC,1,2,ERM,27,0.5325,0.49930049333627863,0.6985738566894321,400,False
WBCIC,1,2,ERM,36,0.9175,0.9174871073605251,0.35449601238633066,400,False
WBCIC,1,2,ERM,44,0.72,0.7198248905565978,0.559564673329996,400,False
WBCIC,1,2,ERM,45,0.8625,0.8620438825868026,0.4290422971624188,400,False
WBCIC,1,2,SubjectBalancedERM,2,0.615,0.6142187930559382,0.6340961196408246,400,False
WBCIC,1,2,SubjectBalancedERM,11,0.875,0.8749874987498749,0.4158274009412359,400,False
WBCIC,1,2,SubjectBalancedERM,13,0.7375,0.7344310184570442,0.544644121584774,400,False
WBCIC,1,2,SubjectBalancedERM,18,0.6225,0.6216463395536178,0.6347837078938717,400,False
WBCIC,1,2,SubjectBalancedERM,27,0.5325,0.49930049333627863,0.6985457683486888,400,False
WBCIC,1,2,SubjectBalancedERM,36,0.9175,0.9174871073605251,0.35449435877550284,400,False
WBCIC,1,2,SubjectBalancedERM,44,0.72,0.7198248905565978,0.5595593800007421,400,False
WBCIC,1,2,SubjectBalancedERM,45,0.8625,0.8620438825868026,0.42902922645237695,400,False
WBCIC,1,2,Mixup,2,0.6125,0.6116237260318593,0.6341773921356151,400,False
WBCIC,1,2,Mixup,11,0.8725,0.8724800750117205,0.41700302595852284,400,False
WBCIC,1,2,Mixup,13,0.7375,0.7344310184570442,0.5449925475995903,400,False
WBCIC,1,2,Mixup,18,0.6225,0.6216463395536178,0.6348445153128955,400,False
WBCIC,1,2,Mixup,27,0.5325,0.497902332606142,0.6985384373322628,400,False
WBCIC,1,2,Mixup,36,0.9175,0.9174871073605251,0.35585869809195225,400,False
WBCIC,1,2,Mixup,44,0.72,0.7198248905565978,0.5600004805747358,400,False
WBCIC,1,2,Mixup,45,0.8625,0.8620438825868026,0.43022152675154685,400,False
WBCIC,1,2,GroupDRO,2,0.615,0.6143830128205128,0.6340322714577004,400,False
WBCIC,1,2,GroupDRO,11,0.875,0.8749874987498749,0.41594569291614575,400,False
WBCIC,1,2,GroupDRO,13,0.7324999999999999,0.7290710555467637,0.5449641592591958,400,False
