dataset,fold,seed,method,rank,lambda_R,lambda_P,center_e_norm,center_a_norm,center_e_mean_norm,center_a_mean_norm,random_effect_variance,random_effect_parameter_norm,subject_count,future_session_used
OpenBMI,4,1,Mixup,1,0.001,0.5,0.10567055642604828,0.14253456890583038,2.9103830456733704e-10,4.656612873077393e-10,0.0006826800527051091,0.21309666335582733,32,False
OpenBMI,4,1,GroupDRO,1,0.001,0.5,0.10566463321447372,0.15487216413021088,4.656612873077393e-10,5.820766091346741e-10,0.0007408821838907897,0.21781063079833984,32,False
OpenBMI,4,1,ProspectiveOnly,1,0.001,0.5,0.13009627163410187,0.17361564934253693,2.3283064365386963e-10,5.820766091346741e-10,0.0010244196746498346,0.2607576847076416,32,False
OpenBMI,4,1,RandomEffectOnly,1,0.001,0.5,0.12475033849477768,0.21010416746139526,1.1641532182693481e-10,2.6031257704950406e-10,0.001202715327963233,0.3180888891220093,32,False
OpenBMI,4,1,AdversarialMixed,1,0.001,0.5,0.059651874005794525,0.24424926936626434,2.3283064365386963e-10,1.1641532182693481e-09,0.0010617331136018038,0.2754877805709839,32,False
OpenBMI,4,1,PERSIST-RE,1,0.001,0.5,0.09157594293355942,0.1953970491886139,2.3283064365386963e-10,3.3971789270559327e-10,0.0008765528909862041,0.2627277374267578,32,False
OpenBMI,4,2,ERM,1,0.001,0.5,0.10480575263500214,0.14954744279384613,3.4924596548080444e-10,4.799926567322643e-10,0.0007093215244822204,0.21767228841781616,32,False
OpenBMI,4,2,SubjectBalancedERM,1,0.001,0.5,0.11554702371358871,0.12739482522010803,2.3283064365386963e-10,2.6031257704950406e-10,0.0006882912712171674,0.21221841871738434,32,False
OpenBMI,4,2,Mixup,1,0.001,0.5,0.09425289928913116,0.15075388550758362,2.9103830456733704e-10,3.4924596548080444e-10,0.0006473098183050752,0.21715734899044037,32,False
OpenBMI,4,2,GroupDRO,1,0.001,0.5,0.1341557651758194,0.16357336938381195,1.1641532182693481e-10,1.4551915228366852e-10,0.0010052754078060389,0.24894195795059204,32,False
OpenBMI,4,2,ProspectiveOnly,1,0.001,0.5,0.10681084543466568,0.14861969649791718,2.3283064365386963e-10,5.820766091346741e-11,0.0007186181028373539,0.2276194989681244,32,False
OpenBMI,4,2,RandomEffectOnly,1,0.001,0.5,0.1726439744234085,0.21165060997009277,4.656612873077393e-10,5.491299637228053e-10,0.0016725292662158608,0.3443676829338074,32,False
OpenBMI,4,2,AdversarialMixed,1,0.001,0.5,0.14360354840755463,0.20993924140930176,6.984919309616089e-10,7.454217798574803e-10,0.001364820171147585,0.32383838295936584,32,False
OpenBMI,4,2,PERSIST-RE,1,0.001,0.5,0.06034243106842041,0.207217738032341,7.275957614183426e-11,2.486632288967172e-10,0.0007990328595042229,0.26863357424736023,32,False
WBCIC,0,0,ERM,1,0.001,1.0,0.12204288691282272,0.1564311534166336,4.656612873077393e-10,2.346425831412091e-10,0.0008688904927112162,0.22579693794250488,32,False
WBCIC,0,0,SubjectBalancedERM,1,0.001,1.0,0.13721829652786255,0.18626314401626587,3.4924596548080444e-10,5.820766091346741e-10,0.001158080529421568,0.2622678577899933,32,False
WBCIC,0,0,Mixup,1,0.001,1.0,0.11274812370538712,0.14551062881946564,0.0,5.206251540990081e-10,0.0007461538771167397,0.23213200271129608,32,False
WBCIC,0,0,GroupDRO,1,0.001,1.0,0.13458435237407684,0.1642294079065323,0.0,5.206251540990081e-10,0.0010124044492840767,0.2504647970199585,32,False
WBCIC,0,0,ProspectiveOnly,1,0.001,1.0,0.09311871975660324,0.14484265446662903,5.820766091346741e-11,0.0,0.0006127189844846725,0.2159292846918106,32,False
