dataset,role,fold,seed,subject,method,recipe,alpha,BA,macro_F1,margin,CE,ECE,future_session_used_for_fit,future_labels_used_for_fit,population_checkpoint_unchanged,oracle_label,population_checkpoint_id,certificate,rank,l2
OpenBMI,outcome,0,0,41,correct_adapter,upda_r1_l20.001_one_se,0.25,0.77,0.769792813532179,1.136827515192279,0.521207791938121,0.07470732649044995,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,41,wrong_adapter,upda_r1_l20.001_one_se,0.25,0.76,0.76,1.0805737276061682,0.51736958262476,0.05161874760353955,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,41,shuffled_adapter,upda_r1_l20.001_one_se,0.25,0.76,0.76,1.0625524647222504,0.5163921302486598,0.052034088924559636,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,41,oracle_alpha,upda_r1_l20.001_one_se,0.0,0.77,0.769792813532179,1.2717800903320313,0.5284125986731508,0.0714642196820064,False,False,True,DIAGNOSTIC_UPPER_BOUND_ONLY,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,46,population,upda_r1_l20.001_one_se,0.0,0.71,0.6906666666666667,1.6040658569335937,0.711294897383098,0.18701031556248585,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,46,intercept_only,upda_r1_l20.001_one_se,1.0,0.72,0.7083333333333334,1.6040658569335944,0.6129636643122081,0.13636252334455945,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,46,ordinary_adapter,upda_r1_l20.001_one_se,1.0,0.5,0.3333333333333333,0.41988405541164353,2.7529616448051746,0.4958313393737174,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,46,previous_full_pda,upda_r1_l20.001_one_se,1.0,0.61,0.5481404240528328,1.4755011781051162,1.0996587249926877,0.29640721748048676,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,46,persistent_ce,upda_r1_l20.001_one_se,1.0,0.61,0.5481404240528328,0.7787450165429141,0.5919553342577127,0.13166560753993906,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,46,u_pda,upda_r1_l20.001_one_se,0.0,0.71,0.6906666666666667,1.6040658569335937,0.711294897383098,0.18701031556248585,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,46,eb_u_pda,upda_r1_l20.001_one_se,0.0,0.71,0.6906666666666667,1.6040658569335937,0.711294897383098,0.18701031556248585,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,46,random_gate,upda_r1_l20.001_one_se,0.0,0.71,0.6906666666666667,1.6040658569335937,0.711294897383098,0.18701031556248585,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,46,correct_adapter,upda_r1_l20.001_one_se,0.0,0.71,0.6906666666666667,1.6040658569335937,0.711294897383098,0.18701031556248585,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,46,wrong_adapter,upda_r1_l20.001_one_se,0.0,0.71,0.6906666666666667,1.6040658569335937,0.711294897383098,0.18701031556248585,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,46,shuffled_adapter,upda_r1_l20.001_one_se,0.0,0.71,0.6906666666666667,1.6040658569335937,0.711294897383098,0.18701031556248585,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,46,oracle_alpha,upda_r1_l20.001_one_se,0.0,0.71,0.6906666666666667,1.6040658569335937,0.711294897383098,0.18701031556248585,False,False,True,DIAGNOSTIC_UPPER_BOUND_ONLY,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,47,population,upda_r1_l20.001_one_se,0.0,0.96,0.959983993597439,2.06015438079834,0.2334073098876841,0.12897824696328003,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,47,intercept_only,upda_r1_l20.001_one_se,1.0,0.94,0.9399038461538461,2.0601543807983402,0.23432240874414545,0.10844992231903651,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,47,ordinary_adapter,upda_r1_l20.001_one_se,1.0,0.66,0.6155585707824514,3.4190259667979537,0.8087409394423236,0.2365421633152706,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
