dataset,fold,seed,subject,correct_adapter,full_pda,ordinary_adapter,population,shuffled_adapter,wrong_adapter,full_pda_minus_population_future_BA,ordinary_adapter_minus_population_future_BA,correct_minus_wrong_future_BA,correct_minus_shuffled_future_BA,persistent_norm,transient_norm,persistent_transient_ratio,historical_crossfit_gain
OpenBMI,2,1,53,0.71,0.71,0.71,0.72,0.63,0.74,-0.010000000000000009,-0.010000000000000009,-0.030000000000000027,0.07999999999999996,0.2831643613998905,0.1547666591266451,1.829621205224685,-0.2499999999999999
OpenBMI,2,2,9,0.71,0.71,0.76,0.76,0.58,0.65,-0.050000000000000044,0.0,0.05999999999999994,0.13,0.2813651952759426,0.0727225712047157,3.8690215515605577,-0.24
OpenBMI,2,2,10,0.5599999999999999,0.5599999999999999,0.64,0.63,0.6599999999999999,0.63,-0.07000000000000006,0.010000000000000009,-0.07000000000000006,-0.09999999999999998,0.5035274476963644,0.0370933088251398,13.574616653101057,-0.34
OpenBMI,2,2,16,0.92,0.92,0.95,0.93,0.59,0.8300000000000001,-0.010000000000000009,0.019999999999999907,0.08999999999999997,0.33000000000000007,0.4349144513189808,0.0129568878811447,33.56627419396596,-0.5700000000000001
OpenBMI,2,2,21,0.5700000000000001,0.5700000000000001,0.84,0.98,0.8,0.8,-0.4099999999999999,-0.14,-0.22999999999999998,-0.22999999999999998,0.7128645052553456,0.0280976767056371,25.37094126050381,-0.5
OpenBMI,2,2,22,0.54,0.54,0.51,0.62,0.63,0.55,-0.07999999999999996,-0.10999999999999999,-0.010000000000000009,-0.08999999999999997,0.4933545574364844,0.029360827851052,16.803155549267196,-0.24
OpenBMI,2,2,31,0.66,0.66,0.75,0.78,0.7,0.7,-0.12,-0.030000000000000027,-0.039999999999999925,-0.039999999999999925,0.5903906702253755,0.0859859257583738,6.866131463007242,-0.5800000000000001
OpenBMI,2,2,45,0.76,0.76,0.8500000000000001,0.81,0.83,0.81,-0.050000000000000044,0.040000000000000036,-0.050000000000000044,-0.06999999999999995,0.5014035049801495,0.0197601961547283,25.374419416386736,-0.6499999999999999
OpenBMI,2,2,53,0.63,0.63,0.66,0.73,0.61,0.58,-0.09999999999999998,-0.06999999999999995,0.050000000000000044,0.020000000000000018,0.4040537351122042,0.0357696819038118,11.295983458805829,-0.48
OpenBMI,3,0,1,0.6799999999999999,0.6799999999999999,0.67,0.6599999999999999,0.6599999999999999,0.6599999999999999,0.020000000000000018,0.01000000000000012,0.020000000000000018,0.020000000000000018,0.3500139546835125,0.0198682900260274,17.616712571891895,-0.56
OpenBMI,3,0,5,0.76,0.76,0.73,0.76,0.76,0.76,0.0,-0.030000000000000027,0.0,0.0,0.4880623820787507,0.0228365340133023,21.371998999254977,-0.1
OpenBMI,3,0,6,0.93,0.93,0.92,0.92,0.93,0.93,0.010000000000000009,0.0,0.0,0.0,0.4549364397432477,0.0208161217138055,21.855004788981816,-0.12
OpenBMI,3,0,7,0.8200000000000001,0.8200000000000001,0.81,0.78,0.78,0.76,0.040000000000000036,0.030000000000000027,0.06000000000000005,0.040000000000000036,0.403436195065265,0.0102996260125212,39.169984868849546,-0.51
