task,fold,subject_id,TFFormer_BA,LiteBN_BA,delta_pp
WBCIC_MI,1,sub-21,0.91,0.9,1.0000000000000009
WBCIC_MI,1,sub-25,0.97,0.97,0.0
WBCIC_MI,1,sub-31,0.61,0.615,-0.5000000000000004
WBCIC_MI,1,sub-33,0.985,0.985,0.0
WBCIC_MI,1,sub-38,0.505,0.505,0.0
WBCIC_MI,1,sub-42,0.675,0.665,1.0000000000000009
WBCIC_MI,2,sub-2,0.73,0.755,-2.500000000000002
WBCIC_MI,2,sub-3,0.855,0.85,0.5000000000000004
WBCIC_MI,2,sub-17,0.825,0.825,0.0
WBCIC_MI,2,sub-19,0.94,0.95,-1.0000000000000009
WBCIC_MI,2,sub-21,0.875,0.875,0.0
WBCIC_MI,2,sub-25,0.98,0.97,1.0000000000000009
WBCIC_MI,2,sub-31,0.605,0.625,-2.0000000000000018
WBCIC_MI,2,sub-33,0.97,0.965,0.5000000000000004
WBCIC_MI,2,sub-38,0.515,0.52,-0.5000000000000004
WBCIC_MI,2,sub-42,0.6799999999999999,0.655,2.499999999999991
WBCIC_MI,3,sub-2,0.77,0.755,1.5000000000000013
WBCIC_MI,3,sub-3,0.845,0.845,0.0
WBCIC_MI,3,sub-17,0.825,0.83,-0.5000000000000004
