task,variant,seed,subject_id,session,BA,macro_F1,folds
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,36,S1,0.9507878787878787,0.8966364115654877,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,36,S2,0.9509090909090909,0.8926633011444032,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,37,S1,0.8527878787878788,0.8077203454320726,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,37,S2,0.9445454545454546,0.9215257247248483,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,39,S1,0.8415151515151514,0.7661283779427078,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,39,S2,0.7307272727272728,0.6970137008924493,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,4,S1,0.7886060606060605,0.7885873637678978,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,4,S2,0.9032727272727273,0.8677376178335159,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,42,S1,0.915939393939394,0.8664342081696198,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,42,S2,0.8294545454545454,0.8152533551145641,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,51,S1,0.8844242424242423,0.824623187061799,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,51,S2,0.7627878787878788,0.6880365354022159,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,54,S1,0.7306666666666667,0.7026039031963001,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,0,54,S2,0.724909090909091,0.6968162562755333,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,12,S1,0.9401818181818182,0.8738809166729797,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,12,S2,0.9627878787878789,0.9225818553938607,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,13,S1,0.8975151515151515,0.8171657845041267,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,13,S2,0.9096969696969696,0.8328364526949732,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,17,S1,0.8107272727272727,0.7140385719056265,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,17,S2,0.8183030303030303,0.7249161567435106,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,18,S1,0.7729389712773582,0.7573115638613441,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,18,S2,0.9158787878787878,0.8859367775355755,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,24,S1,0.9479393939393939,0.8978478012008633,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,24,S2,0.8091515151515152,0.7516037657714345,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,25,S1,0.8048484848484849,0.8025557981312119,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,25,S2,0.7872121212121213,0.7821773077644008,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,29,S1,0.8163636363636364,0.7925778753829628,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,29,S2,0.8507878787878788,0.8196052745559459,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,36,S1,0.9473333333333332,0.8971060242246628,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,36,S2,0.9534545454545456,0.8951377815475174,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,37,S1,0.8556969696969696,0.7912573315288223,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,37,S2,0.9484848484848485,0.9199759176211184,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,39,S1,0.8438181818181818,0.773678221875849,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,39,S2,0.7381212121212121,0.6999733173824033,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,4,S1,0.8012121212121212,0.7848335992619364,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,4,S2,0.9058181818181819,0.8680162154197764,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,42,S1,0.9166666666666666,0.8611074454345058,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,42,S2,0.8547878787878787,0.8150221792733984,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,51,S1,0.8822424242424243,0.8271996227309326,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,51,S2,0.7443030303030304,0.6929028517028237,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,54,S1,0.7206060606060606,0.6861409807362996,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,1,54,S2,0.7171515151515151,0.6946642011775334,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,12,S1,0.9398181818181819,0.8723413508908404,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,12,S2,0.9648484848484848,0.9282027413454166,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,13,S1,0.908060606060606,0.8388775999221902,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,13,S2,0.9216969696969697,0.8555495092660952,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,17,S1,0.8291515151515151,0.731950135968668,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,17,S2,0.8142424242424242,0.7253383252468031,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,18,S1,0.7718514434827352,0.7629650664047942,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,18,S2,0.9204242424242425,0.8995227503353878,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,24,S1,0.9526666666666668,0.9117210536813655,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,24,S2,0.8481818181818183,0.7977591874268742,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,25,S1,0.8,0.8013463970704752,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,25,S2,0.7793939393939394,0.7774778511165349,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,29,S1,0.8101818181818181,0.7876328836172019,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,29,S2,0.8474545454545455,0.8211881865192006,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,36,S1,0.9505454545454546,0.8976479645608151,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,36,S2,0.9538181818181819,0.8999317414701666,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,37,S1,0.8523636363636363,0.8134588797019007,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,37,S2,0.9479393939393939,0.9284933109018585,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,39,S1,0.8411515151515152,0.7698495063550153,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,39,S2,0.7048484848484848,0.6761533084333105,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,4,S1,0.7973939393939393,0.7943918087779954,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,4,S2,0.9027272727272727,0.8755588725490064,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,42,S1,0.9221212121212121,0.869383767482318,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,42,S2,0.8526666666666667,0.827431126828993,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,51,S1,0.8747272727272728,0.8188884994413165,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,51,S2,0.7375757575757576,0.6806740739470788,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,54,S1,0.6944848484848485,0.6741381226373997,5
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,2,54,S2,0.7025454545454546,0.6819128660214954,5
OpenBMI_ERP,B4_ONE_STAGE_BACKEND,0,12,S1,0.9386666666666666,0.8680586254319292,5
