fold,seed,dose,group_id,subject_id,identity_drop,baseline_identity_BA,post_identity_BA
1,1,MEDIUM,P,7,0.0,0.8999999999999999,0.8999999999999999
1,1,MEDIUM,P,11,0.0,0.72,0.72
1,1,MEDIUM,P,17,0.0,0.0,0.0
1,1,MEDIUM,P,19,0.0,0.55,0.55
1,1,MEDIUM,P,22,0.0,0.745,0.745
1,1,MEDIUM,P,38,0.0,0.6950000000000001,0.6950000000000001
1,1,MEDIUM,P,40,0.0,0.53,0.53
1,1,MEDIUM,P,50,0.0,0.31,0.31
2,0,HIGH,N,5,0.08928571428571427,0.625,0.5357142857142857
2,0,HIGH,N,6,0.0018367346938775572,0.78,0.7781632653061225
2,0,HIGH,N,9,0.005051020408163246,0.7,0.6949489795918367
2,0,HIGH,N,14,-0.03607142857142855,0.405,0.44107142857142856
2,0,HIGH,N,16,0.09668367346938775,0.55,0.45331632653061227
2,0,HIGH,N,17,-0.07795918367346938,0.19,0.2679591836734694
2,0,HIGH,N,25,0.1187755102040816,0.605,0.48622448979591837
2,0,HIGH,N,30,0.025153061224489775,0.97,0.9448469387755102
2,0,HIGH,N,49,0.015969387755102076,0.8400000000000001,0.824030612244898
2,0,HIGH,P,5,0.06999999999999995,0.625,0.5549999999999999
2,0,HIGH,P,6,-0.03749999999999995,0.78,0.8175
2,0,HIGH,P,9,-0.015000000000000102,0.7,0.7150000000000001
2,0,HIGH,P,14,-0.004999999999999951,0.405,0.41000000000000003
2,0,HIGH,P,16,0.0050000000000000495,0.55,0.5449999999999999
2,0,HIGH,P,17,0.005,0.19,0.185
2,0,HIGH,P,25,0.030000000000000002,0.605,0.575
2,0,HIGH,P,30,0.02249999999999995,0.97,0.9475
2,0,HIGH,P,49,0.0150000000000001,0.8400000000000001,0.825
2,0,LOW,N,5,0.0,0.625,0.625
2,0,LOW,N,6,0.0,0.78,0.78
2,0,LOW,N,9,0.0,0.7,0.7
2,0,LOW,N,14,0.0,0.405,0.405
2,0,LOW,N,16,0.0,0.55,0.55
2,0,LOW,N,17,0.0,0.19,0.19
2,0,LOW,N,25,0.0,0.605,0.605
2,0,LOW,N,30,0.0,0.97,0.97
2,0,LOW,N,49,0.0,0.8400000000000002,0.8400000000000002
2,0,LOW,P,5,0.0,0.625,0.625
2,0,LOW,P,6,0.0,0.78,0.78
2,0,LOW,P,9,0.0,0.7,0.7
2,0,LOW,P,14,0.0,0.405,0.405
2,0,LOW,P,16,0.0,0.55,0.55
2,0,LOW,P,17,0.0,0.19,0.19
2,0,LOW,P,25,0.0,0.605,0.605
2,0,LOW,P,30,0.0,0.97,0.97
2,0,LOW,P,49,0.0,0.8400000000000001,0.8400000000000001
2,0,MEDIUM,N,5,0.041049999999999996,0.625,0.58395
2,0,MEDIUM,N,6,-0.0006999999999999981,0.78,0.7807
2,0,MEDIUM,N,9,0.0012499999999999924,0.7,0.69875
2,0,MEDIUM,N,14,-0.01759999999999999,0.405,0.42260000000000003
2,0,MEDIUM,N,16,0.0403,0.55,0.5097
2,0,MEDIUM,N,17,-0.04279999999999999,0.19,0.2328
2,0,MEDIUM,N,25,0.03544999999999999,0.605,0.56955
2,0,MEDIUM,N,30,0.01039999999999999,0.97,0.9596
2,0,MEDIUM,N,49,0.008850000000000016,0.8400000000000002,0.83115
2,0,MEDIUM,P,5,0.0,0.625,0.625
2,0,MEDIUM,P,6,0.0,0.78,0.78
2,0,MEDIUM,P,9,0.0,0.7,0.7
2,0,MEDIUM,P,14,0.0,0.405,0.405
2,0,MEDIUM,P,16,0.0,0.55,0.55
2,0,MEDIUM,P,17,0.0,0.19,0.19
2,0,MEDIUM,P,25,0.0,0.605,0.605
2,0,MEDIUM,P,30,0.0,0.97,0.97
2,0,MEDIUM,P,49,0.0,0.8400000000000001,0.8400000000000001
2,1,HIGH,N,5,0.0,0.5249999999999999,0.5249999999999999
2,1,HIGH,N,6,0.0,0.685,0.685
2,1,HIGH,N,9,0.0,0.79,0.79
2,1,HIGH,N,14,0.0,0.39,0.39
2,1,HIGH,N,16,0.0,0.745,0.745
2,1,HIGH,N,17,0.0,0.31,0.31
2,1,HIGH,N,25,0.0,0.185,0.185
2,1,HIGH,N,30,0.0,0.935,0.935
2,1,HIGH,N,49,0.0,0.805,0.805
2,1,HIGH,P,5,0.03499999999999985,0.5249999999999999,0.49
2,1,HIGH,P,6,0.0275000000000001,0.685,0.6575
2,1,HIGH,P,9,0.0175,0.79,0.7725
2,1,HIGH,P,14,0.057499999999999996,0.39,0.3325
2,1,HIGH,P,16,0.0599999999999999,0.745,0.685
2,1,HIGH,P,17,0.027500000000000052,0.31,0.2825
2,1,HIGH,P,25,0.0825,0.185,0.10249999999999995
2,1,HIGH,P,30,0.01250000000000005,0.935,0.9225000000000001
2,1,HIGH,P,49,0.03749999999999985,0.8049999999999999,0.7675000000000001
2,1,LOW,N,5,0.0,0.5249999999999999,0.5249999999999999
2,1,LOW,N,6,0.0,0.685,0.685
2,1,LOW,N,9,0.0,0.79,0.79
2,1,LOW,N,14,0.0,0.39,0.39
2,1,LOW,N,16,0.0,0.745,0.745
2,1,LOW,N,17,0.0,0.31,0.31
2,1,LOW,N,25,0.0,0.185,0.185
2,1,LOW,N,30,0.0,0.935,0.935
2,1,LOW,N,49,0.0,0.805,0.805
2,1,LOW,P,5,0.0,0.5249999999999999,0.5249999999999999
2,1,LOW,P,6,0.0,0.685,0.685
2,1,LOW,P,9,0.0,0.79,0.79
2,1,LOW,P,14,0.0,0.39,0.39
2,1,LOW,P,16,0.0,0.745,0.745
2,1,LOW,P,17,0.0,0.31,0.31
2,1,LOW,P,25,0.0,0.185,0.185
2,1,LOW,P,30,0.0,0.935,0.935
2,1,LOW,P,49,0.0,0.8049999999999999,0.8049999999999999
2,1,MEDIUM,N,5,0.0,0.5249999999999999,0.5249999999999999
2,1,MEDIUM,N,6,0.0,0.685,0.685
2,1,MEDIUM,N,9,0.0,0.79,0.79
2,1,MEDIUM,N,14,0.0,0.39,0.39
2,1,MEDIUM,N,16,0.0,0.745,0.745
2,1,MEDIUM,N,17,0.0,0.31,0.31
2,1,MEDIUM,N,25,0.0,0.185,0.185
2,1,MEDIUM,N,30,0.0,0.935,0.935
2,1,MEDIUM,N,49,0.0,0.805,0.805
2,1,MEDIUM,P,5,0.0,0.5249999999999999,0.5249999999999999
2,1,MEDIUM,P,6,0.0,0.685,0.685
2,1,MEDIUM,P,9,0.0,0.79,0.79
2,1,MEDIUM,P,14,0.0,0.39,0.39
2,1,MEDIUM,P,16,0.0,0.745,0.745
2,1,MEDIUM,P,17,0.0,0.31,0.31
2,1,MEDIUM,P,25,0.0,0.185,0.185
2,1,MEDIUM,P,30,0.0,0.935,0.935
2,1,MEDIUM,P,49,0.0,0.8049999999999999,0.8049999999999999
