model,task,fold,seed,subject_id,persistent_block,nonpersistent_block,block_rank,score_U_persistent,score_U_nonpersistent,Delta_future,Delta_worst
CBraMod,OpenBMI_MI,1,2,29,4,5,4,0.008710742292818674,0.010370305107427516,0.09375,0.09375
CBraMod,OpenBMI_MI,1,2,36,4,5,4,0.008710742292818674,0.010370305107427516,0.078125,-0.078125
CBraMod,OpenBMI_MI,1,2,37,4,5,4,0.008710742292818674,0.010370305107427516,0.046875,-0.046875
CBraMod,OpenBMI_MI,1,2,39,4,5,4,0.008710742292818674,0.010370305107427516,-0.125,-0.046875
CBraMod,OpenBMI_MI,1,2,4,4,5,4,0.008710742292818674,0.010370305107427516,-0.078125,0.015625
CBraMod,OpenBMI_MI,1,2,42,4,5,4,0.008710742292818674,0.010370305107427516,0.0625,0.046875
CBraMod,OpenBMI_MI,1,2,51,4,5,4,0.008710742292818674,0.010370305107427516,-0.1875,-0.125
CBraMod,OpenBMI_MI,1,2,54,4,5,4,0.008710742292818674,0.010370305107427516,0.09375,-0.0625
CBraMod,OpenBMI_ERP,0,0,12,5,6,4,0.07449978789811951,0.04595575730416794,0.09375,-0.078125
CBraMod,OpenBMI_ERP,0,0,13,5,6,4,0.07449978789811951,0.04595575730416794,-0.03125,0.015625
CBraMod,OpenBMI_ERP,0,0,17,5,6,4,0.07449978789811951,0.04595575730416794,-0.109375,-0.140625
CBraMod,OpenBMI_ERP,0,0,18,5,6,4,0.07449978789811951,0.04595575730416794,0.046875,-0.0625
CBraMod,OpenBMI_ERP,0,0,24,5,6,4,0.07449978789811951,0.04595575730416794,0.046875,0.046875
CBraMod,OpenBMI_ERP,0,0,25,5,6,4,0.07449978789811951,0.04595575730416794,0.078125,0.078125
CBraMod,OpenBMI_ERP,0,0,29,5,6,4,0.07449978789811951,0.04595575730416794,0.0625,0.046875
CBraMod,OpenBMI_ERP,0,0,36,5,6,4,0.07449978789811951,0.04595575730416794,-0.015625,0.0625
CBraMod,OpenBMI_ERP,0,0,37,5,6,4,0.07449978789811951,0.04595575730416794,0.125,0.078125
CBraMod,OpenBMI_ERP,0,0,39,5,6,4,0.07449978789811951,0.04595575730416794,0.109375,0.109375
CBraMod,OpenBMI_ERP,0,0,4,5,6,4,0.07449978789811951,0.04595575730416794,0.0,-0.171875
CBraMod,OpenBMI_ERP,0,0,42,5,6,4,0.07449978789811951,0.04595575730416794,0.03125,0.09375
CBraMod,OpenBMI_ERP,0,0,51,5,6,4,0.07449978789811951,0.04595575730416794,-0.078125,-0.03125
CBraMod,OpenBMI_ERP,0,0,54,5,6,4,0.07449978789811951,0.04595575730416794,0.0,0.0
CBraMod,OpenBMI_ERP,0,2,12,5,7,4,0.029886662081882107,0.013885074818477698,-0.0625,-0.046875
CBraMod,OpenBMI_ERP,0,2,13,5,7,4,0.029886662081882107,0.013885074818477698,0.03125,0.109375
CBraMod,OpenBMI_ERP,0,2,17,5,7,4,0.029886662081882107,0.013885074818477698,-0.078125,-0.09375
CBraMod,OpenBMI_ERP,0,2,18,5,7,4,0.029886662081882107,0.013885074818477698,-0.03125,-0.125
