model,task,fold,seed,status,block_id,block_rank,score_U,persistence_margin,persistence_pass,subject_id,future_BA,worst_BA
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,2,4,0.0846705670312154,0.04628015286289156,True,18,0.578125,0.578125
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,2,4,0.0846705670312154,0.04628015286289156,True,24,0.625,0.578125
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,2,4,0.0846705670312154,0.04628015286289156,True,25,0.984375,0.625
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,2,4,0.0846705670312154,0.04628015286289156,True,29,0.5,0.453125
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,2,4,0.0846705670312154,0.04628015286289156,True,36,0.65625,0.65625
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,2,4,0.0846705670312154,0.04628015286289156,True,37,0.671875,0.609375
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,2,4,0.0846705670312154,0.04628015286289156,True,39,0.578125,0.578125
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,2,4,0.0846705670312154,0.04628015286289156,True,42,0.5625,0.5625
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,2,4,0.0846705670312154,0.04628015286289156,True,51,0.71875,0.671875
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,2,4,0.0846705670312154,0.04628015286289156,True,54,0.6875,0.546875
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,3,4,0.12900000671304662,0.03693094323389232,True,4,0.75,0.65625
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,3,4,0.12900000671304662,0.03693094323389232,True,12,0.6875,0.65625
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,3,4,0.12900000671304662,0.03693094323389232,True,13,0.71875,0.71875
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,3,4,0.12900000671304662,0.03693094323389232,True,17,0.578125,0.578125
