task,model,subject_id,intact_probe_BA,protected_erased_BA,random_erased_BA,protected_harm_pp,random_harm_pp,PEEH_pp,repeated_runs,protected_rank_mean,protected_rank_min,protected_rank_max
OpenBMI_SSVEP,LiteBN,51,0.7713333333333333,0.594,0.6980733333333333,17.733333333333334,7.326000000000005,10.407333333333328,15,4.533333333333333,0,8
OpenBMI_SSVEP,LiteBN,54,0.8786666666666666,0.7040000000000001,0.7938866666666666,17.466666666666654,8.478,8.988666666666658,15,4.533333333333333,0,8
OpenBMI_SSVEP,TFFormer,12,0.966,0.88,0.9304533333333332,8.599999999999996,3.554666666666667,5.04533333333333,15,4.533333333333333,0,8
OpenBMI_SSVEP,TFFormer,13,0.8186666666666667,0.6313333333333334,0.7293066666666667,18.73333333333333,8.936,9.797333333333334,15,4.533333333333333,0,8
OpenBMI_SSVEP,TFFormer,17,0.974,0.8059999999999999,0.9019666666666667,16.799999999999997,7.2033333333333305,9.596666666666666,15,4.533333333333333,0,8
OpenBMI_SSVEP,TFFormer,18,1.0,0.9946666666666667,0.9981933333333333,0.5333333333333338,0.18066666666666675,0.3526666666666671,15,4.533333333333333,0,8
OpenBMI_SSVEP,TFFormer,24,0.9133333333333333,0.6146666666666667,0.7627266666666668,29.86666666666666,15.060666666666659,14.806000000000003,15,4.533333333333333,0,8
OpenBMI_SSVEP,TFFormer,25,0.952,0.8320000000000001,0.89122,11.999999999999998,6.078000000000003,5.921999999999995,15,4.533333333333333,0,8
OpenBMI_SSVEP,TFFormer,29,0.956,0.8160000000000001,0.8895866666666666,13.999999999999996,6.6413333333333275,7.358666666666669,15,4.533333333333333,0,8
OpenBMI_SSVEP,TFFormer,36,1.0,0.9826666666666667,0.99698,1.733333333333334,0.3020000000000015,1.4313333333333325,15,4.533333333333333,0,8
OpenBMI_SSVEP,TFFormer,37,0.9933333333333334,0.9706666666666666,0.98686,2.2666666666666684,0.6473333333333323,1.6193333333333366,15,4.533333333333333,0,8
OpenBMI_SSVEP,TFFormer,39,0.998,0.86,0.9530533333333333,13.800000000000002,4.494666666666665,9.305333333333335,15,4.533333333333333,0,8
OpenBMI_SSVEP,TFFormer,4,1.0,0.9993333333333333,0.9994733333333333,0.06666666666666672,0.052666666666666785,0.013999999999999938,15,4.533333333333333,0,8
