task,dataset,fold,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
OpenBMI_ERP,OpenBMI,4,44,LiteBN_BASELINE,0.8993939393939394,0.7932432947299054,0.8505050505050505,1980,c3fb4b011f1ba42b8e0ded81ece46b36d9b6c05fbb97dd532871c1f0a79d2aaa,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97
OpenBMI_ERP,OpenBMI,4,44,LiteBN_X,0.9081818181818182,0.8194150429861321,0.8752525252525253,1980,8018a3b66123c5367420465a92937afa834a2589de74754e436ef996ea237840,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97
OpenBMI_ERP,OpenBMI,4,46,LiteBN_BASELINE,0.7048484848484848,0.6499009820959463,0.7525252525252525,1980,c3fb4b011f1ba42b8e0ded81ece46b36d9b6c05fbb97dd532871c1f0a79d2aaa,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97
OpenBMI_ERP,OpenBMI,4,46,LiteBN_X,0.7124242424242424,0.674058420041282,0.7853535353535354,1980,8018a3b66123c5367420465a92937afa834a2589de74754e436ef996ea237840,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97
OpenBMI_ERP,OpenBMI,4,53,LiteBN_BASELINE,0.6563636363636364,0.6507379337854009,0.798989898989899,1980,c3fb4b011f1ba42b8e0ded81ece46b36d9b6c05fbb97dd532871c1f0a79d2aaa,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97
OpenBMI_ERP,OpenBMI,4,53,LiteBN_X,0.7260606060606061,0.7266094602331827,0.8484848484848485,1980,8018a3b66123c5367420465a92937afa834a2589de74754e436ef996ea237840,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97
OpenBMI_ERP,OpenBMI,4,7,LiteBN_BASELINE,0.8815151515151516,0.8085114371654687,0.8712121212121212,1980,c3fb4b011f1ba42b8e0ded81ece46b36d9b6c05fbb97dd532871c1f0a79d2aaa,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97
OpenBMI_ERP,OpenBMI,4,7,LiteBN_X,0.8627272727272728,0.8062387034475929,0.8742424242424243,1980,8018a3b66123c5367420465a92937afa834a2589de74754e436ef996ea237840,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97
OpenBMI_ERP,OpenBMI,4,9,LiteBN_BASELINE,0.8333333333333334,0.8005640612409348,0.8777777777777778,1980,c3fb4b011f1ba42b8e0ded81ece46b36d9b6c05fbb97dd532871c1f0a79d2aaa,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97
OpenBMI_ERP,OpenBMI,4,9,LiteBN_X,0.7657575757575757,0.7603607681305287,0.8641414141414141,1980,8018a3b66123c5367420465a92937afa834a2589de74754e436ef996ea237840,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97
OpenBMI_MI,OpenBMI,0,15,LiteBN_BASELINE,0.8799999999999999,0.8795664391810518,0.88,100,aa920b25880374b8f4d427c289643f66d918f64d8042935b5b1b45dfa463c9a1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI,OpenBMI,0,15,LiteBN_X,0.8400000000000001,0.8397435897435898,0.84,100,873da01bd0c645448a22a5fa86b02461191f6a64ebeef75da29153a9c61b1f02,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI,OpenBMI,0,3,LiteBN_BASELINE,0.8899999999999999,0.8897243107769424,0.89,100,aa920b25880374b8f4d427c289643f66d918f64d8042935b5b1b45dfa463c9a1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI,OpenBMI,0,3,LiteBN_X,0.9,0.898989898989899,0.9,100,873da01bd0c645448a22a5fa86b02461191f6a64ebeef75da29153a9c61b1f02,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI,OpenBMI,0,32,LiteBN_BASELINE,0.69,0.6892230576441103,0.69,100,aa920b25880374b8f4d427c289643f66d918f64d8042935b5b1b45dfa463c9a1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI,OpenBMI,0,32,LiteBN_X,0.73,0.72997299729973,0.73,100,873da01bd0c645448a22a5fa86b02461191f6a64ebeef75da29153a9c61b1f02,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI,OpenBMI,0,33,LiteBN_BASELINE,0.88,0.8798076923076923,0.88,100,aa920b25880374b8f4d427c289643f66d918f64d8042935b5b1b45dfa463c9a1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI,OpenBMI,0,33,LiteBN_X,0.95,0.9499949994999499,0.95,100,873da01bd0c645448a22a5fa86b02461191f6a64ebeef75da29153a9c61b1f02,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI,OpenBMI,0,38,LiteBN_BASELINE,0.72,0.6961805555555556,0.72,100,aa920b25880374b8f4d427c289643f66d918f64d8042935b5b1b45dfa463c9a1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI,OpenBMI,0,38,LiteBN_X,0.8,0.7987117552334944,0.8,100,873da01bd0c645448a22a5fa86b02461191f6a64ebeef75da29153a9c61b1f02,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI,OpenBMI,0,47,LiteBN_BASELINE,0.86,0.8590982286634461,0.86,100,aa920b25880374b8f4d427c289643f66d918f64d8042935b5b1b45dfa463c9a1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI,OpenBMI,0,47,LiteBN_X,0.81,0.8043455874781176,0.81,100,873da01bd0c645448a22a5fa86b02461191f6a64ebeef75da29153a9c61b1f02,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI,OpenBMI,0,5,LiteBN_BASELINE,0.72,0.7106242248863166,0.72,100,aa920b25880374b8f4d427c289643f66d918f64d8042935b5b1b45dfa463c9a1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI,OpenBMI,0,5,LiteBN_X,0.74,0.7373737373737375,0.74,100,873da01bd0c645448a22a5fa86b02461191f6a64ebeef75da29153a9c61b1f02,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI,OpenBMI,0,6,LiteBN_BASELINE,0.95,0.9499549594635172,0.95,100,aa920b25880374b8f4d427c289643f66d918f64d8042935b5b1b45dfa463c9a1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
