family_id,action,feature,n_grouped_units,pearson_r,pearson_p,spearman_r,spearman_p,spearman_group_bootstrap_CI_L,spearman_group_bootstrap_CI_U,grouped_permutation_p
openbmi_sample_router,erase,f_router_agreement_base_geo,52,-0.06637507993,0.6401289936,-0.08829871365,0.5336325525,-0.3533915972,0.1939642885,0.5249169435
openbmi_sample_router,geometry,f_router_protected_slot0_projection,52,-0.03932912078,0.7819189212,-0.09275907917,0.5130812491,-0.3295650435,0.1211673243,0.5249169435
openbmi_sample_router,erase,f_router_protected_slot0_prototype_distance_difference,52,-0.1948897943,0.1661980676,-0.08718485313,0.5388268896,-0.3320722766,0.1857931028,0.5249169435
openbmi_sample_router,erase,f_router_protected_slot0_geometry_margin,52,-0.02725675129,0.8478919565,-0.07860299443,0.579651579,-0.3694583611,0.1882597283,0.5813953488
openbmi_sample_router,geometry,f_router_probability_shift_l1,52,-0.1288428958,0.3626558802,-0.06722043767,0.6358663149,-0.3296750096,0.2292341843,0.5880398671
openbmi_sample_router,amplify,f_router_protected_slot1_weighted_geometry_score,52,-0.1318001216,0.3516507815,0.07204630136,0.6117588992,-0.1644984811,0.3845273322,0.6046511628
openbmi_sample_router,erase,f_router_nll_proxy_full,52,0.06644225853,0.6397898246,0.07710864092,0.5869015071,-0.2159192878,0.3495505364,0.6079734219
openbmi_sample_router,amplify,f_router_js_full_erase,52,-0.1134319412,0.4233201604,-0.06606735519,0.6416835548,-0.3255251737,0.1940943995,0.6212624585
openbmi_sample_router,amplify,f_router_protected_slot1_projection,52,-0.08441532075,0.5518477867,0.0691422418,0.6262192835,-0.2401752638,0.3843102885,0.6445182724
openbmi_sample_router,amplify,f_router_protected_slot1_signed_midpoint_distance,52,-0.07526046106,0.5959239297,0.07020991076,0.6208863655,-0.2330170918,0.3554883997,0.6445182724
openbmi_sample_router,erase,f_router_top2_margin_full,52,-0.05496586458,0.6987398687,-0.06502572543,0.6469569309,-0.3245089846,0.2398500841,0.6511627907
openbmi_sample_router,geometry,f_router_protected_slot0_weighted_geometry_score,52,0.04102594384,0.7727556801,0.0589780333,0.6779076872,-0.1898829374,0.3243674727,0.6544850498
openbmi_sample_router,geometry,f_router_protected_slot1_projection,52,-0.02782961516,0.8447340834,0.05363968851,0.7056752882,-0.2411598074,0.3712222448,0.6544850498
openbmi_sample_router,erase,f_router_entropy_change_full_erase,52,0.05277745748,0.7101972374,0.06105501468,0.667215373,-0.203965171,0.3483041266,0.657807309
openbmi_sample_router,erase,f_router_protected_slot0_weighted_geometry_score,52,-0.2053461292,0.1441829392,-0.06361676355,0.6541173687,-0.344047171,0.2275515266,0.657807309
openbmi_sample_router,erase,f_router_protected_slot0_contribution_norm,52,0.05691282752,0.6886021208,-0.05926179048,0.6764431298,-0.3368717651,0.2102626326,0.6710963455
openbmi_sample_router,erase,f_router_p_full_max,52,-0.05496586473,0.6987398679,-0.06502572543,0.6469569309,-0.3522468649,0.2123667059,0.6744186047
openbmi_sample_router,geometry,f_router_protected_slot0_signed_midpoint_distance,52,0.06236398352,0.6605101326,0.0533407412,0.7072419782,-0.223978363,0.3156584165,0.6843853821
openbmi_sample_router,geometry,f_router_kl_full_erase,52,-0.1128980187,0.4255199885,-0.05517713181,0.6976372483,-0.3175935849,0.2045488677,0.7176079734
openbmi_sample_router,erase,f_router_entropy_full,52,0.0004244234616,0.9976173926,0.0472215708,0.7395665342,-0.2174931364,0.2955156861,0.7242524917
openbmi_sample_router,geometry,f_router_protected_slot0_prototype_distance_difference,52,0.06592672278,0.6423945082,0.04509833684,0.7508909419,-0.2129853796,0.3444526745,0.7408637874
openbmi_sample_router,erase,f_router_js_base_geo,52,-0.1470631124,0.2981644468,-0.04175650655,0.7688198319,-0.3328779122,0.2566066329,0.780730897
openbmi_sample_router,geometry,f_router_js_full_erase,52,-0.01348631793,0.9244010882,0.03203006878,0.8216562995,-0.2420133561,0.294461435,0.7973421927
openbmi_sample_router,erase,f_router_protected_slot1_prototype_distance_difference,52,-0.02376646801,0.8671813317,0.03086907386,0.8280208631,-0.2701753797,0.2806660876,0.8006644518
openbmi_sample_router,erase,f_router_protected_slot1_geometry_margin,52,-0.06114327637,0.6667624309,-0.02766688777,0.8456308633,-0.3620693957,0.2188178745,0.8139534884
openbmi_sample_router,geometry,f_router_protected_slot1_weighted_geometry_score,52,-0.07140541559,0.6149377723,0.03309773773,0.8158133673,-0.2272838667,0.303345941,0.8139534884
openbmi_sample_router,erase,f_router_protected_slot0_projection,52,-0.09059411575,0.5230062348,-0.02975898268,0.834116636,-0.2803120837,0.2554537444,0.8471760797
openbmi_sample_router,amplify,f_router_protected_slot0_weighted_geometry_score,52,-0.03223385976,0.8205402803,0.02489804013,0.8609186261,-0.2417393473,0.3131336404,0.8671096346
openbmi_sample_router,erase,f_router_protected_slot1_weighted_geometry_score,52,-0.07719790912,0.5864672765,-0.02348269795,0.8687531461,-0.2926136741,0.229877836,0.8870431894
openbmi_sample_router,erase,f_router_protected_slot1_signed_midpoint_distance,52,-0.04575021305,0.7474084531,-0.02015242443,0.8872356834,-0.2798789105,0.2686116382,0.8936877076
openbmi_sample_router,geometry,f_router_protected_slot1_signed_midpoint_distance,52,-0.05743438059,0.6858955145,-0.01810766555,0.8986139776,-0.3013077429,0.2331978486,0.9102990033
openbmi_sample_router,amplify,f_router_protected_slot0_signed_midpoint_distance,52,0.04158170136,0.7697610593,0.01349533564,0.9243506856,-0.2596464594,0.317586619,0.9302325581
openbmi_sample_router,erase,f_router_protected_slot1_contribution_norm,52,-0.06938815315,0.6249892824,0.01306491923,0.926756732,-0.2597972876,0.2814492217,0.9368770764
openbmi_sample_router,geometry,f_router_protected_slot1_prototype_distance_difference,52,-0.008375007379,0.9530110988,0.007516389473,0.9578238672,-0.2419078189,0.2513769126,0.9667774086
openbmi_sample_router,amplify,f_router_protected_slot0_projection,52,0.02152048477,0.879635376,-0.007388269197,0.9585421454,-0.2486148792,0.2578401188,0.9833887043
openbmi_sample_router,amplify,f_router_protected_slot0_prototype_distance_difference,52,-0.00210705016,0.9881719491,0.00260511226,0.9853763225,-0.2708717649,0.3286872676,0.9900332226
wbcic_development_block,suppress,f_decision_flip,80,-0.837520819,3.592471153e-22,-0.50109885,2.198734395e-06,-0.6082547726,-0.4041076285,0.003322259136
wbcic_development_block,suppress,f_decision_logit_ratio,80,-0.6396503845,1.692675114e-10,-0.488045007,4.387096761e-06,-0.5237701745,-0.4245614858,0.003322259136
wbcic_development_block,suppress,f_decision_margin,80,-0.6282721145,4.41080602e-10,-0.4750351617,8.49474495e-06,-0.6101604057,-0.3321217522,0.003322259136
wbcic_development_block,suppress,f_decision_tv,80,-0.8317924896,1.236643998e-21,-0.5096343179,1.377864838e-06,-0.6235572863,-0.3986961823,0.003322259136
wbcic_development_block,suppress,f_u_crossfold_sd,80,-0.5291276038,4.512985464e-07,-0.417440225,0.0001169754178,-0.6427465516,-0.2098386037,0.003322259136
wbcic_development_block,suppress,f_persistence_sd,80,0.03937158888,0.7287848817,-0.229535865,0.04054504105,-0.3900109776,-0.1238874683,0.04651162791
wbcic_development_block,suppress,f_u_crossfold,80,-0.4080485755,0.0001718357688,-0.2111111111,0.06014043062,-0.4243969967,-0.01069318075,0.05647840532
wbcic_development_block,suppress,f_minimum_eigenvalue,80,0.038377845,0.735375247,-0.1695030474,0.1328080215,-0.2256354939,-0.1352124566,0.1196013289
wbcic_development_block,suppress,f_persistence_strength,80,0.04586480453,0.6862247644,-0.1699718706,0.1317237178,-0.287754432,-0.04930538613,0.1262458472
wbcic_development_block,suppress,f_eigenvalue_sum,80,0.04398640016,0.6984438351,-0.1582512893,0.1609100018,-0.2781739702,-0.06207060123,0.1495016611
wbcic_development_block,suppress,f_effective_positive_rank,60,0.1271311037,0.3330578514,0.1539814596,0.2401283115,0.1069437064,0.2436740979,0.2159468439
wbcic_development_block,suppress,f_rank,80,0.1781694754,0.1138333914,0.1089597753,0.3360013969,0.04020075605,0.1817783918,0.2890365449
wbcic_development_block,suppress,f_centroid_correlation,60,0.01137819106,0.9312407899,-0.04254499044,0.74687261,-0.285486263,0.1607672634,0.7242524917
wbcic_development_block,suppress,f_principal_angle_max,60,0.0508066226,0.6998544837,0.04054025267,0.7584292587,-0.1075326343,0.2948313365,0.7873754153
wbcic_development_block,suppress,f_task_BA,80,-0.03794559281,0.7382478857,-0.02275555501,0.8412033436,-0.1685511676,0.08989816566,0.8405315615
wbcic_development_block,suppress,f_principal_angle_mean,60,0.1561228596,0.2335734507,-0.0211611209,0.8725004774,-0.1361259988,0.1777345534,0.8803986711
wbcic_development_block,suppress,f_cross_covariance_condition,60,-0.2019986707,0.1216792541,0.01202842662,0.9273216857,-0.2155133212,0.1422567141,0.9235880399
wbcic_development_block,suppress,f_baseline_BA,80,-0.05939548965,0.6007301974,-0.006573703717,0.9538504059,-0.116778258,0.1029201051,0.9634551495
