model,task,subject_id,session1_mean_BA,session2_mean_BA,session3_mean_BA_if_applicable,worst_session,WS_BA_subject
CBraMod,OpenBMI_SSVEP,25,0.9866666666666668,0.8953333333333333,,S2,0.8953333333333333
CBraMod,OpenBMI_SSVEP,29,0.9299999999999998,0.9306666666666666,,S1,0.9299999999999998
CBraMod,OpenBMI_SSVEP,36,1.0,0.998,,S2,0.998
CBraMod,OpenBMI_SSVEP,37,0.9533333333333333,0.9700000000000001,,S1,0.9533333333333333
CBraMod,OpenBMI_SSVEP,39,0.9540000000000001,0.972,,S1,0.9540000000000001
CBraMod,OpenBMI_SSVEP,42,0.9693333333333334,0.5293333333333334,,S2,0.5293333333333334
CBraMod,OpenBMI_SSVEP,51,0.4186666666666667,0.46866666666666656,,S1,0.4186666666666667
CBraMod,OpenBMI_SSVEP,54,0.632,0.6953333333333334,,S1,0.632
CBraMod,WBCIC_MI,sub-4,0.513,0.5656666666666668,0.645,S1,0.513
CBraMod,WBCIC_MI,sub-8,0.8576666666666666,0.8619999999999999,0.8656666666666666,S1,0.8576666666666666
CBraMod,WBCIC_MI,sub-10,0.6206666666666666,0.7176666666666667,0.7916666666666665,S1,0.6206666666666666
CBraMod,WBCIC_MI,sub-15,0.689,0.634,0.6673333333333333,S2,0.634
CBraMod,WBCIC_MI,sub-20,0.8249999999999998,0.8553333333333334,0.4766666666666667,S3,0.4766666666666667
CBraMod,WBCIC_MI,sub-39,0.4933333333333334,0.6789999999999999,0.7639999999999999,S1,0.4933333333333334
CBraMod,WBCIC_MI,sub-40,0.7643333333333333,0.6396666666666666,0.778,S2,0.6396666666666666
CBraMod,WBCIC_MI,sub-43,0.9359999999999999,0.9103333333333333,0.9139999999999999,S2,0.9103333333333333
CBraMod,WBCIC_MI,sub-46,0.9586666666666666,0.9259999999999998,0.8579999999999999,S3,0.8579999999999999
CBraMod,WBCIC_MI,sub-51,0.729,0.787,0.7843333333333333,S1,0.729
TeCh,OpenBMI_MI,4,0.628,0.7339999999999999,,S1,0.628
TeCh,OpenBMI_MI,12,0.8126666666666668,0.692,,S2,0.692
TeCh,OpenBMI_MI,13,0.6866666666666668,0.6886666666666666,,S1,0.6866666666666668
TeCh,OpenBMI_MI,17,0.6626666666666666,0.5673333333333334,,S2,0.5673333333333334
TeCh,OpenBMI_MI,18,0.6579999999999998,0.6479999999999999,,S2,0.6479999999999999
TeCh,OpenBMI_MI,24,0.7046666666666667,0.562,,S2,0.562
TeCh,OpenBMI_MI,25,0.8053333333333335,0.9933333333333334,,S1,0.8053333333333335
TeCh,OpenBMI_MI,29,0.6593333333333333,0.7493333333333333,,S1,0.6593333333333333
TeCh,OpenBMI_MI,36,0.8306666666666668,0.8546666666666666,,S1,0.8306666666666668
TeCh,OpenBMI_MI,37,0.646,0.6960000000000001,,S1,0.646
TeCh,OpenBMI_MI,39,0.7819999999999999,0.6846666666666666,,S2,0.6846666666666666
TeCh,OpenBMI_MI,42,0.682,0.6533333333333332,,S2,0.6533333333333332
TeCh,OpenBMI_MI,51,0.7406666666666666,0.706,,S2,0.706
TeCh,OpenBMI_MI,54,0.6620000000000001,0.7353333333333334,,S1,0.6620000000000001
TeCh,OpenBMI_ERP,4,0.769939393939394,0.8621818181818184,,S1,0.769939393939394
