benchmark,outer_fold,dimension,protected_importance,random_control_importance,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,1,99,1.0,0.709267110841914,False
OpenBMI_MI_S1_to_S2,1,100,0.0,0.24894003634161113,False
OpenBMI_MI_S1_to_S2,1,101,0.10357359176256814,0.8546335554209569,False
OpenBMI_MI_S1_to_S2,1,102,0.0,0.5396729254996971,False
OpenBMI_MI_S1_to_S2,1,103,0.9878861296184132,0.0,False
OpenBMI_MI_S1_to_S2,1,104,0.0,0.0,False
OpenBMI_MI_S1_to_S2,1,105,0.16414294367050278,0.0,False
OpenBMI_MI_S1_to_S2,1,106,0.12780133252574202,0.22471229557843736,False
OpenBMI_MI_S1_to_S2,1,107,0.0,0.8788612961841309,False
OpenBMI_MI_S1_to_S2,1,108,0.17625681405208968,0.9878861296184132,False
OpenBMI_MI_S1_to_S2,1,109,0.0,0.8182919442761962,False
OpenBMI_MI_S1_to_S2,1,110,0.0,0.9152029073288915,False
OpenBMI_MI_S1_to_S2,1,111,0.0,0.576014536644458,False
OpenBMI_MI_S1_to_S2,1,112,0.1520290732889158,0.6244700181708056,False
OpenBMI_MI_S1_to_S2,1,113,0.551786795881284,0.0,False
OpenBMI_MI_S1_to_S2,1,114,0.6002422774076318,0.7819503331314356,False
OpenBMI_MI_S1_to_S2,1,115,0.0,0.0,False
OpenBMI_MI_S1_to_S2,1,116,0.30950938824954577,1.0,False
OpenBMI_MI_S1_to_S2,1,117,0.8061780738946094,0.7334948516050878,False
OpenBMI_MI_S1_to_S2,1,118,0.6971532404603271,0.6729254996971533,False
OpenBMI_MI_S1_to_S2,1,119,0.5396729254996971,0.40642035130224113,False
OpenBMI_MI_S1_to_S2,1,120,0.0,0.0,False
OpenBMI_MI_S1_to_S2,1,121,0.0,0.8909751665657177,False
OpenBMI_MI_S1_to_S2,1,122,0.0,0.6486977589339794,False
OpenBMI_MI_S1_to_S2,1,123,0.6244700181708056,0.33373712901271957,False
OpenBMI_MI_S1_to_S2,1,124,0.7334948516050878,0.0,False
OpenBMI_MI_S1_to_S2,1,125,0.0,0.6971532404603271,False
OpenBMI_MI_S1_to_S2,1,126,0.0,0.0,False
OpenBMI_MI_S1_to_S2,1,127,0.07934585099939435,0.35796486977589337,False
OpenBMI_MI_S1_to_S2,2,0,0.0,0.7819503331314356,False
OpenBMI_MI_S1_to_S2,2,1,0.04300423985463358,0.16414294367050278,False
OpenBMI_MI_S1_to_S2,2,2,0.41853422168382803,0.0,False
OpenBMI_MI_S1_to_S2,2,3,0.0,0.38219261053906733,False
OpenBMI_MI_S1_to_S2,2,4,0.0,0.35796486977589337,False
OpenBMI_MI_S1_to_S2,2,5,0.5639006662628709,0.8667474258025439,False
OpenBMI_MI_S1_to_S2,2,6,0.0,0.0,False
OpenBMI_MI_S1_to_S2,2,7,0.34585099939430647,0.0,False
OpenBMI_MI_S1_to_S2,2,8,0.47910357359176264,0.39430648092065423,False
OpenBMI_MI_S1_to_S2,2,9,0.8061780738946094,0.9636583888552394,False
OpenBMI_MI_S1_to_S2,2,10,0.06723198061780745,0.0,False
OpenBMI_MI_S1_to_S2,2,11,0.0,0.29739551786795887,False
OpenBMI_MI_S1_to_S2,2,12,0.0,0.20048455481526348,False
OpenBMI_MI_S1_to_S2,2,13,0.0,0.84251968503937,False
OpenBMI_MI_S1_to_S2,2,14,0.0,0.7334948516050878,False
OpenBMI_MI_S1_to_S2,2,15,0.0,0.030890369473046686,False
OpenBMI_MI_S1_to_S2,2,16,0.6123561477892187,0.0,False
OpenBMI_MI_S1_to_S2,2,17,0.0,0.09145972138098124,False
OpenBMI_MI_S1_to_S2,2,18,0.33373712901271957,0.21259842519685046,False
OpenBMI_MI_S1_to_S2,2,19,0.006662628709872809,0.9515445184736523,False
OpenBMI_MI_S1_to_S2,2,20,0.0,0.0,False
OpenBMI_MI_S1_to_S2,2,21,0.43064809206541493,0.6365838885523925,False
OpenBMI_MI_S1_to_S2,2,22,0.30950938824954577,0.551786795881284,False
OpenBMI_MI_S1_to_S2,2,23,0.8788612961841309,0.0,False
OpenBMI_MI_S1_to_S2,2,24,0.0,0.0,False
OpenBMI_MI_S1_to_S2,2,25,0.0,0.0,False
OpenBMI_MI_S1_to_S2,2,26,0.38219261053906733,0.12780133252574202,False
OpenBMI_MI_S1_to_S2,2,27,0.6486977589339794,0.0,False
OpenBMI_MI_S1_to_S2,2,28,0.07934585099939435,0.0,False
OpenBMI_MI_S1_to_S2,2,29,0.0,1.0,False
OpenBMI_MI_S1_to_S2,2,30,0.0,0.0,False
OpenBMI_MI_S1_to_S2,2,31,0.12780133252574202,0.0,False
OpenBMI_MI_S1_to_S2,2,32,0.10357359176256814,0.37007874015748027,False
OpenBMI_MI_S1_to_S2,2,33,0.9273167777104785,0.0,False
OpenBMI_MI_S1_to_S2,2,34,0.0,0.8304058146577832,False
OpenBMI_MI_S1_to_S2,2,35,0.0,0.07934585099939435,False
OpenBMI_MI_S1_to_S2,2,36,0.0,0.0,False
OpenBMI_MI_S1_to_S2,2,37,0.37007874015748027,0.8546335554209569,False
OpenBMI_MI_S1_to_S2,2,38,0.5154451847365233,0.23682616596002423,False
OpenBMI_MI_S1_to_S2,2,39,0.0,0.6729254996971533,False
OpenBMI_MI_S1_to_S2,2,40,0.8182919442761962,0.709267110841914,False
OpenBMI_MI_S1_to_S2,2,41,0.6365838885523925,0.5396729254996971,False
OpenBMI_MI_S1_to_S2,2,42,0.5033313143549365,0.7698364627498486,False
OpenBMI_MI_S1_to_S2,2,43,0.0,0.0,False
OpenBMI_MI_S1_to_S2,2,44,0.9394306480920653,0.0,False
OpenBMI_MI_S1_to_S2,2,45,0.32162325863113267,0.5154451847365233,False
OpenBMI_MI_S1_to_S2,2,46,0.6244700181708056,0.0,False
OpenBMI_MI_S1_to_S2,2,47,0.0,0.33373712901271957,False
OpenBMI_MI_S1_to_S2,2,48,0.0,0.7456087219866747,False
OpenBMI_MI_S1_to_S2,2,49,0.23682616596002423,0.06723198061780745,False
OpenBMI_MI_S1_to_S2,2,50,0.8909751665657177,0.1520290732889158,False
OpenBMI_MI_S1_to_S2,2,51,0.0,0.0,False
OpenBMI_MI_S1_to_S2,2,52,0.0,0.47910357359176264,False
OpenBMI_MI_S1_to_S2,2,53,0.0,0.0,False
OpenBMI_MI_S1_to_S2,2,54,0.18837068443367658,0.13991520290732892,False
OpenBMI_MI_S1_to_S2,2,55,0.22471229557843736,0.0,False
OpenBMI_MI_S1_to_S2,2,56,0.0,0.8182919442761962,False
OpenBMI_MI_S1_to_S2,2,57,0.0,0.7940642035130224,False
OpenBMI_MI_S1_to_S2,2,58,0.6729254996971533,0.006662628709872809,False
OpenBMI_MI_S1_to_S2,2,59,0.0,0.4669897032101756,False
OpenBMI_MI_S1_to_S2,2,60,0.576014536644458,0.5639006662628709,False
OpenBMI_MI_S1_to_S2,2,61,0.0,0.5275590551181102,False
OpenBMI_MI_S1_to_S2,2,62,0.13991520290732892,0.26105390672319806,False
OpenBMI_MI_S1_to_S2,2,63,0.21259842519685046,0.4548758328285887,False
OpenBMI_MI_S1_to_S2,2,64,0.8667474258025439,0.7577225923682616,False
OpenBMI_MI_S1_to_S2,2,65,0.29739551786795887,0.32162325863113267,False
OpenBMI_MI_S1_to_S2,2,66,0.16414294367050278,0.6123561477892187,False
OpenBMI_MI_S1_to_S2,2,67,0.7456087219866747,0.8909751665657177,False
OpenBMI_MI_S1_to_S2,2,68,0.6608116293155663,0.576014536644458,False
OpenBMI_MI_S1_to_S2,2,69,0.17625681405208968,0.0,False
OpenBMI_MI_S1_to_S2,2,70,0.8546335554209569,0.18837068443367658,False
OpenBMI_MI_S1_to_S2,2,71,0.5275590551181102,0.0,False
OpenBMI_MI_S1_to_S2,2,72,0.09145972138098124,0.6608116293155663,False
OpenBMI_MI_S1_to_S2,2,73,0.0,0.0,False
OpenBMI_MI_S1_to_S2,2,74,0.9878861296184132,0.17625681405208968,False
OpenBMI_MI_S1_to_S2,2,75,0.26105390672319806,0.28528164748637197,False
OpenBMI_MI_S1_to_S2,2,76,0.9152029073288915,0.4427619624470018,False
OpenBMI_MI_S1_to_S2,2,77,0.28528164748637197,0.5033313143549365,False
OpenBMI_MI_S1_to_S2,2,78,0.4548758328285887,0.0,False
OpenBMI_MI_S1_to_S2,2,79,0.551786795881284,0.0,False
OpenBMI_MI_S1_to_S2,2,80,0.0,0.41853422168382803,False
OpenBMI_MI_S1_to_S2,2,81,0.709267110841914,0.0,False
OpenBMI_MI_S1_to_S2,2,82,0.5396729254996971,0.6850393700787402,False
OpenBMI_MI_S1_to_S2,2,83,0.9757722592368262,0.0,False
OpenBMI_MI_S1_to_S2,2,84,0.9030890369473047,0.24894003634161113,False
OpenBMI_MI_S1_to_S2,2,85,0.7940642035130224,0.7213809812235009,False
OpenBMI_MI_S1_to_S2,2,86,0.1520290732889158,0.0,False
OpenBMI_MI_S1_to_S2,2,87,0.6971532404603271,0.40642035130224113,False
OpenBMI_MI_S1_to_S2,2,88,0.24894003634161113,0.2731677771047849,False
OpenBMI_MI_S1_to_S2,2,89,0.0,0.6486977589339794,False
OpenBMI_MI_S1_to_S2,2,90,0.0,0.0,False
OpenBMI_MI_S1_to_S2,2,91,0.7577225923682616,0.6002422774076318,False
OpenBMI_MI_S1_to_S2,2,92,0.7819503331314356,0.8061780738946094,False
OpenBMI_MI_S1_to_S2,2,93,0.11568746214415512,0.0,False
OpenBMI_MI_S1_to_S2,2,94,0.4669897032101756,0.9152029073288915,False
OpenBMI_MI_S1_to_S2,2,95,0.05511811023622047,0.6971532404603271,False
OpenBMI_MI_S1_to_S2,2,96,0.6850393700787402,0.0,False
OpenBMI_MI_S1_to_S2,2,97,0.40642035130224113,0.9394306480920653,False
OpenBMI_MI_S1_to_S2,2,98,0.0,0.04300423985463358,False
OpenBMI_MI_S1_to_S2,2,99,0.39430648092065423,0.0,False
OpenBMI_MI_S1_to_S2,2,100,0.0,0.0,False
OpenBMI_MI_S1_to_S2,2,101,0.01877649909145979,0.0,False
OpenBMI_MI_S1_to_S2,2,102,0.0,0.8788612961841309,False
OpenBMI_MI_S1_to_S2,2,103,0.9636583888552394,0.30950938824954577,False
