fold,subject,method,draw,decision_response_drift
4.0,sub-32,PersistenceGuard,0,0.16565145520615507
4.0,sub-32,RandomGuard,mean,0.15933234881181718
4.0,sub-47,Frozen,0,0.0
4.0,sub-47,Generic,0,0.15909699164887017
4.0,sub-47,IdentityGuard,0,0.11970765435327876
4.0,sub-47,PCAGuard,0,0.07985897077113492
4.0,sub-47,PERSISTGuard,0,0.1418668414583422
4.0,sub-47,PersistenceGuard,0,0.16565145520615507
4.0,sub-47,RandomGuard,mean,0.15933234881181718
4.0,sub-48,Frozen,0,0.0
4.0,sub-48,Generic,0,0.15909699164887017
4.0,sub-48,IdentityGuard,0,0.11970765435327876
4.0,sub-48,PCAGuard,0,0.07985897077113492
4.0,sub-48,PERSISTGuard,0,0.1418668414583422
4.0,sub-48,PersistenceGuard,0,0.16565145520615507
4.0,sub-48,RandomGuard,mean,0.15933234881181718
4.0,sub-50,Frozen,0,0.0
4.0,sub-50,Generic,0,0.15909699164887017
4.0,sub-50,IdentityGuard,0,0.11970765435327876
4.0,sub-50,PCAGuard,0,0.07985897077113492
4.0,sub-50,PERSISTGuard,0,0.1418668414583422
4.0,sub-50,PersistenceGuard,0,0.16565145520615507
4.0,sub-50,RandomGuard,mean,0.15933234881181718
4.0,sub-7,Frozen,0,0.0
4.0,sub-7,Generic,0,0.15909699164887017
4.0,sub-7,IdentityGuard,0,0.11970765435327876
4.0,sub-7,PCAGuard,0,0.07985897077113492
4.0,sub-7,PERSISTGuard,0,0.1418668414583422
4.0,sub-7,PersistenceGuard,0,0.16565145520615507
4.0,sub-7,RandomGuard,mean,0.15933234881181718
