scope,task,dataset,fold,seed,subject_id,model,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,3,0,27,B0,0.95,0.9499549594635172,0.95,100,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,3,0,27,W0R0,0.97,0.96999699969997,0.97,100,1b87a4e92aac53955d293928a7556b9a80a363f4c33454b92d37bad464c4f351,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,3,0,34,B0,0.61,0.5953937130407718,0.61,100,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,3,0,34,W0R0,0.69,0.6899689968996899,0.69,100,1b87a4e92aac53955d293928a7556b9a80a363f4c33454b92d37bad464c4f351,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,3,0,45,B0,0.74,0.74,0.74,100,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,3,0,45,W0R0,0.81,0.8098288459613652,0.81,100,1b87a4e92aac53955d293928a7556b9a80a363f4c33454b92d37bad464c4f351,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,3,0,49,B0,0.84,0.8383838383838383,0.84,100,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,3,0,49,W0R0,0.87,0.8693598633303186,0.87,100,1b87a4e92aac53955d293928a7556b9a80a363f4c33454b92d37bad464c4f351,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,4,0,20,B0,0.9099999999999999,0.9095568284594513,0.91,100,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,4,0,20,W0R0,0.94,0.9399038461538461,0.94,100,88e0129a579fd77ccd55175535d1bed4859a9cf7caf4706b11c9bbe8008624c9,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,4,0,21,B0,0.9099999999999999,0.9097744360902256,0.91,100,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,4,0,21,W0R0,0.9199999999999999,0.9194847020933977,0.92,100,88e0129a579fd77ccd55175535d1bed4859a9cf7caf4706b11c9bbe8008624c9,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,4,0,41,B0,0.77,0.7647058823529411,0.77,100,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,4,0,41,W0R0,0.77,0.7688674505074866,0.77,100,88e0129a579fd77ccd55175535d1bed4859a9cf7caf4706b11c9bbe8008624c9,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,4,0,44,B0,0.84,0.8368013055895553,0.84,100,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,4,0,44,W0R0,0.85,0.8481627695110842,0.85,100,88e0129a579fd77ccd55175535d1bed4859a9cf7caf4706b11c9bbe8008624c9,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,4,0,46,B0,0.69,0.6615351020853806,0.69,100,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,4,0,46,W0R0,0.7,0.6816638370118846,0.7,100,88e0129a579fd77ccd55175535d1bed4859a9cf7caf4706b11c9bbe8008624c9,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,4,0,53,B0,0.8200000000000001,0.818840579710145,0.82,100,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,4,0,53,W0R0,0.87,0.8699869986998701,0.87,100,88e0129a579fd77ccd55175535d1bed4859a9cf7caf4706b11c9bbe8008624c9,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,4,0,7,B0,0.73,0.7237851662404092,0.73,100,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,4,0,7,W0R0,0.71,0.7033248081841432,0.71,100,88e0129a579fd77ccd55175535d1bed4859a9cf7caf4706b11c9bbe8008624c9,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,4,0,9,B0,0.6,0.586606035551881,0.6,100,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,4,0,9,W0R0,0.64,0.6328029375764994,0.64,100,88e0129a579fd77ccd55175535d1bed4859a9cf7caf4706b11c9bbe8008624c9,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d
