task,subject,session,variant,BA,macro_F1,NLL,trials,label
OpenBMI_MI,36,S1,BASELINE,0.91,0.90999099909991,0.35879868268966675,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,36,S1,PCA_POSITIVE_ONLY_ROUTING,0.9,0.8999599839935974,0.36005496978759766,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,36,S1,SHUFFLED_UTILITY_ROUTING,0.91,0.90999099909991,0.35776615142822266,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,36,S1,PCA_SIGNED_UTILITY_ROUTING,0.9,0.8999599839935974,0.3600061535835266,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,36,S1,RANDOM_BASIS_0,0.91,0.90999099909991,0.3588177561759949,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,36,S1,RANDOM_BASIS_1,0.91,0.90999099909991,0.35868775844573975,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,36,S1,RANDOM_BASIS_2,0.91,0.90999099909991,0.3588975667953491,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,36,S1,RANDOM_BASIS_3,0.91,0.90999099909991,0.3587329089641571,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,36,S1,RANDOM_BASIS_4,0.91,0.90999099909991,0.35894152522087097,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,37,S1,BASELINE,0.63,0.6296667000300271,0.7239886522293091,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,37,S1,PCA_POSITIVE_ONLY_ROUTING,0.64,0.6398559423769508,0.7271625399589539,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,37,S1,SHUFFLED_UTILITY_ROUTING,0.63,0.6296667000300271,0.7249685525894165,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,37,S1,PCA_SIGNED_UTILITY_ROUTING,0.64,0.6398559423769508,0.7272144556045532,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,37,S1,RANDOM_BASIS_0,0.63,0.6296667000300271,0.7241714596748352,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,37,S1,RANDOM_BASIS_1,0.63,0.6296667000300271,0.7239885926246643,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,37,S1,RANDOM_BASIS_2,0.63,0.6296667000300271,0.7241052389144897,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,37,S1,RANDOM_BASIS_3,0.63,0.6296667000300271,0.7238650321960449,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,37,S1,RANDOM_BASIS_4,0.63,0.6296667000300271,0.7238342761993408,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,39,S1,BASELINE,0.8,0.7987117552334944,0.45530444383621216,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,39,S1,PCA_POSITIVE_ONLY_ROUTING,0.8,0.797979797979798,0.4549492597579956,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,39,S1,SHUFFLED_UTILITY_ROUTING,0.8200000000000001,0.818840579710145,0.4562557339668274,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,39,S1,PCA_SIGNED_UTILITY_ROUTING,0.8,0.797979797979798,0.45485782623291016,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
